SSC_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,13
SSC10002,3,3,16,25,12,48,3,24,0,139,21,53,45,35,41,62,13,19,9,295,49,117,54,18,84,26,25,14,6,390,61,93,51,14,79,33,29,32,0,398,101,77,99,50,128,46,28,30,9,570,68,62,66,26,88,43,32,34,11,436,7,6,8,5,11,10,10,6,0,69,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,317,419,345,174,446,261,134,165,38,2297
SSC10003,0,4,8,20,7,29,0,9,0,81,3,36,21,35,14,28,3,6,5,159,108,187,51,45,81,29,4,8,8,519,152,210,45,30,83,55,14,15,12,600,161,199,55,40,105,50,8,25,8,654,95,147,26,14,81,34,15,29,10,449,24,60,18,4,26,15,6,12,3,174,3,8,0,3,3,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,551,854,213,186,397,248,53,109,46,2660
SSC10004,3,0,3,12,7,11,0,7,0,39,0,4,7,17,3,15,0,3,0,45,9,21,20,10,17,6,3,5,0,92,27,31,12,15,23,9,5,13,0,127,24,39,18,15,36,6,8,10,0,155,13,36,11,8,17,14,7,4,0,100,0,0,0,3,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,127,69,74,95,49,26,43,3,573
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14
SSC10006,0,0,13,13,3,20,0,21,3,62,0,6,23,12,16,16,3,16,4,97,16,24,42,37,24,25,26,25,0,206,20,25,35,36,23,19,41,25,0,217,10,18,25,33,19,16,43,40,5,196,4,18,15,21,18,16,21,16,3,137,0,4,0,0,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,55,89,153,147,94,108,135,139,17,943
SSC10007,0,0,8,6,4,25,0,16,0,58,4,0,16,6,12,14,3,15,0,70,10,14,64,13,17,17,37,28,0,198,11,7,43,20,18,9,61,18,4,188,24,20,34,22,23,15,45,30,8,202,16,12,15,11,11,3,27,28,0,135,9,3,0,3,4,0,7,8,0,37,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,79,66,188,73,92,86,169,143,11,906
SSC10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,15,3,0,0,0,4,0,0,0,0,8,10,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,5,0,13,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,36,3,4,0,7,0,0,5,3,61
SSC10009,0,4,36,32,15,84,6,35,0,215,14,21,72,42,35,49,24,31,3,286,46,132,167,81,85,64,91,62,11,738,71,109,119,62,98,43,107,41,6,650,62,78,88,51,86,43,76,28,15,526,17,45,25,30,43,28,41,25,3,252,7,3,3,0,7,6,3,5,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,385,511,309,364,314,339,222,36,2695
SSC10010,0,0,10,7,3,27,3,12,0,65,0,3,17,21,8,20,9,18,4,100,14,31,45,20,28,27,37,30,0,222,13,27,38,24,19,14,25,27,8,198,16,15,29,17,20,18,37,43,8,207,7,24,19,11,16,5,35,29,0,151,3,0,0,4,3,0,9,3,0,16,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,59,101,158,100,96,115,152,162,16,962
SSC10011,0,0,0,3,0,5,0,3,0,7,0,3,3,0,0,0,0,0,0,9,8,0,8,3,4,5,0,0,0,27,0,0,6,0,9,0,5,7,0,33,3,3,4,4,3,3,3,4,0,29,0,0,3,0,3,0,0,0,0,11,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,31,12,14,12,14,14,0,121
SSC10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,5
SSC10013,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,7,0,16
SSC10014,0,3,12,14,3,37,4,17,4,90,14,29,28,20,27,42,4,18,9,188,48,140,53,51,84,31,24,15,5,462,93,185,59,41,104,37,46,19,10,593,67,84,60,34,92,31,35,28,6,436,27,39,36,20,44,22,29,27,0,250,4,11,5,3,16,0,4,7,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,494,254,189,378,205,153,121,32,2074
SSC10015,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,3,0,13,3,0,0,3,4,0,0,3,0,11,5,0,4,3,3,0,3,0,0,24,14,0,3,3,0,4,0,3,0,35,4,4,5,0,0,0,3,3,0,30,7,0,0,0,0,0,0,4,0,15,6,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,32,3,19,16,15,16,7,27,5,136
SSC10016,0,5,17,25,4,74,5,44,0,181,18,48,53,78,45,82,7,31,5,370,88,259,127,83,87,38,31,51,11,765,85,240,91,58,107,25,22,32,6,677,87,164,88,78,130,49,29,65,10,688,51,83,45,23,74,43,19,35,4,368,3,6,5,3,13,6,0,8,3,58,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,332,814,428,353,454,307,109,266,46,3107
SSC10017,0,3,13,29,4,66,7,31,3,150,7,22,27,39,30,35,8,15,0,193,58,170,75,42,49,32,13,12,3,454,103,254,77,51,92,26,22,28,14,674,79,201,62,37,109,34,25,27,6,586,52,104,38,15,73,24,28,28,0,355,8,29,9,6,14,4,0,5,0,78,3,5,3,0,6,0,0,0,0,26,0,0,0,0,0,0,0,0,0,3,313,795,300,220,378,224,93,155,35,2521
SSC10018,0,0,4,0,0,4,0,3,0,16,0,0,6,5,0,0,3,3,0,25,4,7,6,13,4,3,12,9,0,55,10,12,10,8,10,8,11,10,3,81,12,6,15,8,9,11,16,10,0,91,9,11,12,7,15,0,16,9,0,71,11,4,4,0,5,0,7,0,0,28,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,43,40,59,43,41,23,64,50,7,376
SSC10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,6,8,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,6,0,3,11,0,42
SSC10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,0,21
SSC10021,0,3,9,0,3,8,0,6,0,30,3,4,12,12,8,4,4,8,0,53,5,10,15,5,8,7,3,3,3,72,18,14,18,9,19,6,8,4,0,114,13,14,23,7,18,3,13,4,0,104,8,3,4,10,12,7,5,11,0,69,5,0,0,0,5,0,4,3,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,61,61,87,43,83,43,35,42,10,463
SSC10022,0,0,11,6,8,15,3,3,3,48,0,5,7,19,9,3,21,15,6,86,6,4,12,19,12,12,20,24,3,104,0,7,8,25,3,6,16,26,3,97,9,5,11,22,11,5,21,27,0,109,4,6,3,4,12,3,14,19,3,62,0,0,3,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,59,96,53,47,95,120,22,525
SSC10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,13,0,3,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,3,0,3,0,4,0,30
SSC10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,10,9,4,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,3,0,3,0,0,0,0,34
SSC10025,6,7,97,64,16,176,19,90,7,477,20,68,187,114,70,85,40,74,12,666,106,189,294,183,186,105,94,101,17,1270,147,236,265,206,240,115,156,114,20,1506,178,176,214,200,222,141,178,127,27,1466,92,141,134,100,119,59,103,99,12,855,6,15,18,7,10,6,19,12,3,97,0,0,0,0,0,0,3,0,3,11,0,0,0,0,0,0,0,0,0,0,564,841,1204,870,864,694,612,617,85,6347
SSC10026,0,3,27,29,6,57,11,45,3,179,15,33,76,39,21,54,15,53,8,318,36,87,138,97,87,64,58,86,9,668,67,59,96,76,73,50,73,57,10,555,51,66,85,89,90,50,92,98,10,619,41,56,65,60,68,35,72,52,11,467,7,7,15,9,16,11,14,7,3,80,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,219,305,501,398,363,327,334,397,50,2906
SSC10027,6,3,9,18,8,47,3,36,0,129,14,32,30,59,14,22,8,10,4,195,57,169,65,48,39,33,13,22,0,446,89,158,41,43,53,20,6,21,8,440,99,159,41,31,75,24,14,25,9,469,73,144,37,32,78,29,11,31,4,442,30,46,14,7,21,13,4,5,0,151,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,365,714,237,241,292,202,62,154,24,2288
SSC10028,0,0,3,7,0,13,0,8,3,29,0,3,3,6,0,0,3,4,0,24,4,6,7,4,0,7,5,7,0,45,7,9,7,6,10,3,3,0,0,47,11,5,11,8,6,9,12,4,0,70,5,13,12,15,12,8,10,10,0,78,0,0,0,3,0,3,3,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,40,40,52,30,35,32,40,7,311
SSC10029,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,4,0,4,0,0,3,0,0,15,0,3,0,0,3,0,0,0,0,7,9,4,0,0,0,0,0,3,0,21,10,4,0,0,0,0,3,0,0,23,9,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,10,0,4,3,4,11,6,3,82
SSC10030,3,7,6,14,4,14,0,8,3,55,45,141,38,66,81,54,5,13,5,446,385,1075,183,157,276,178,22,49,45,2377,365,582,89,68,190,80,17,30,27,1444,197,317,62,48,114,47,23,32,14,842,75,148,24,28,59,27,19,32,0,416,13,25,3,3,14,9,3,4,0,78,0,4,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1077,2300,412,380,737,410,97,161,88,5670
SSC10031,3,7,7,18,3,42,3,12,0,105,17,44,33,45,33,52,0,12,0,240,30,81,50,24,44,25,10,10,14,288,72,62,34,22,51,18,14,11,6,275,85,78,42,24,84,41,11,18,10,398,85,117,41,20,101,29,23,16,14,437,12,10,5,0,4,3,4,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,400,210,151,322,202,68,93,46,1792
SSC10032,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,0,0,0,0,13,6,0,0,0,0,0,0,0,0,14,6,0,3,3,3,0,0,0,0,11,9,3,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,23,5,10,3,10,3,0,4,0,60
SSC10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10034,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,3,7,4,3,3,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13,0,3,3,0,3,3,39
SSC10035,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,3,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,4,3,3,4,0,0,5,0,31
SSC10036,0,4,18,43,7,79,8,31,3,192,12,37,40,65,26,53,7,24,3,262,73,121,66,44,56,33,5,16,11,417,223,316,95,53,117,56,9,26,8,906,203,253,82,56,153,65,28,40,17,902,66,156,74,45,97,34,23,37,5,526,22,31,22,10,30,16,7,9,9,162,3,4,0,0,3,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,609,916,391,314,483,339,87,188,52,3385
SSC10037,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,7,0,3,0,0,0,0,3,3,0,18,0,4,0,0,3,0,0,0,0,7,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,7,3,5,5,3,43
SSC10038,0,0,3,15,3,33,0,18,3,79,3,39,37,52,34,65,6,44,9,293,96,269,104,119,133,123,41,112,22,1025,75,163,70,61,82,44,35,47,8,579,62,96,66,60,85,41,38,46,13,494,44,68,57,27,55,24,51,56,4,384,10,11,10,8,11,10,6,4,0,73,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,288,645,351,352,408,339,176,328,53,2936
SSC10039,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,3,0,0,0,0,0,20
SSC10040,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,11,3,3,0,0,0,0,3,0,0,11,0,0,0,6,0,0,3,3,0,14,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,6,15,5,4,5,4,0,48
SSC10041,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,3,0,10,3,0,4,0,0,0,3,0,0,13,0,0,6,0,3,0,5,3,0,19,3,0,0,3,3,0,3,0,0,13,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,15,3,7,0,8,9,0,67
SSC10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,3,0,0,5,4,0,3,0,3,0,4,0,0,11,4,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,0,6,3,8,0,0,33
SSC10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,4,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,3,0,0,3,0,31
SSC10044,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,12,7,5,3,0,4,3,3,0,0,26,0,3,0,0,3,3,0,0,0,13,4,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,11,10,13,3,3,3,0,66
SSC10045,0,0,0,3,0,4,0,3,0,10,0,0,0,8,0,0,0,4,0,15,0,5,3,6,3,0,0,0,0,23,3,4,5,3,9,0,4,0,0,31,10,14,14,9,4,0,0,3,5,57,23,10,6,4,7,0,3,3,0,51,7,4,0,0,0,0,0,3,0,23,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,52,51,25,28,26,7,7,20,12,223
SSC10046,3,0,16,28,11,69,0,47,4,175,0,16,26,27,11,16,5,11,0,110,18,61,61,24,30,28,21,28,9,269,60,130,70,52,76,33,19,43,10,494,62,140,65,74,82,43,19,50,8,535,54,126,59,61,79,27,31,54,6,497,31,28,7,9,23,8,10,7,0,122,10,0,0,0,3,0,3,3,0,19,0,0,0,0,0,0,0,0,4,6,237,504,306,273,298,227,101,237,38,2217
SSC10047,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,10,0,3,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,4,10,5,10,0,0,0,0,40
SSC10048,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,3,3,0,6,0,22
SSC10049,4,0,18,21,3,54,9,42,3,163,16,31,63,51,51,59,27,61,10,366,61,88,101,72,118,69,89,70,17,676,48,74,76,73,69,51,84,75,15,558,56,66,80,73,94,33,94,69,9,584,49,66,52,47,103,29,73,64,7,478,6,12,13,10,13,6,18,16,0,87,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,240,330,407,339,457,302,392,398,51,2925
SSC10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,15
SSC10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,3,0,21
SSC10053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,11
SSC10054,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,3,0,15,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,3,8,0,0,3,0,35
SSC10055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,8,0,3,3,3,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,3,3,0,0,0,0,30
SSC10056,0,0,3,0,0,0,0,0,0,7,3,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,3,11,0,3,0,5,3,0,4,5,0,17,6,3,3,3,3,3,0,0,0,21,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,12,5,6,7,3,14,8,75
SSC10057,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,9,0,22
SSC10058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,3,3,0,3,0,23
SSC10059,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,5,3,0,4,0,0,0,0,0,14,4,8,4,3,0,0,0,0,0,22,4,7,3,4,3,3,0,0,0,16,3,16,3,8,3,4,0,0,0,34,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,36,12,17,6,8,0,3,0,103
SSC10060,3,0,15,20,3,55,3,28,0,135,11,9,39,27,12,25,4,18,0,142,21,41,49,38,22,21,15,26,0,237,32,36,65,34,39,27,19,31,0,289,59,63,74,43,46,36,32,38,3,388,33,47,36,36,43,21,30,29,3,282,3,3,5,10,5,3,4,4,0,48,3,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,171,205,293,209,166,180,109,176,16,1525
SSC10061,3,3,6,42,8,31,5,10,0,109,28,116,33,91,65,61,14,22,6,440,201,689,103,94,152,82,19,30,28,1393,340,697,77,66,159,72,18,30,18,1476,261,464,61,44,135,64,24,21,18,1086,120,276,42,27,85,37,23,17,8,639,32,87,9,14,31,9,0,17,3,196,3,7,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,3,3,989,2346,329,382,632,356,104,131,93,5363
