SSC_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,9
SSC10002,11,0,22,16,15,7,0,6,0,66,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3,0,0,0,0,14,3,0,10,3,3,3,0,3,3,29,229,373,269,109,243,91,54,63,20,1443
SSC10003,15,3,15,8,13,13,0,3,0,73,4,0,0,0,0,0,0,0,0,8,3,7,0,3,3,3,0,0,0,24,3,4,0,3,4,0,0,3,4,25,452,801,176,108,278,126,17,40,23,2023
SSC10004,3,0,11,3,0,0,4,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,61,122,59,50,66,24,14,19,4,419
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9
SSC10006,4,3,14,8,3,4,8,3,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,3,5,5,0,24,31,77,117,89,64,38,64,51,6,538
SSC10007,0,0,9,3,0,8,4,3,0,35,0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,6,3,0,9,3,3,3,3,4,0,33,44,59,149,52,54,18,78,44,4,506
SSC10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,3,0,3,0,0,3,0,36
SSC10009,14,7,54,22,20,7,9,12,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,18,3,3,10,5,0,6,6,4,3,39,172,359,439,195,240,104,168,77,19,1778
SSC10010,4,4,13,4,0,3,0,6,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,6,5,0,24,39,90,125,57,66,34,74,66,8,559
SSC10011,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,8,3,25,10,13,9,10,9,0,89
SSC10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC10013,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7
SSC10014,14,0,24,14,9,12,6,5,0,78,0,0,0,0,0,0,0,0,0,0,5,0,3,0,14,3,4,0,0,29,0,3,7,3,3,9,3,0,0,27,195,456,213,141,239,90,84,53,16,1491
SSC10015,0,0,4,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,20,4,14,12,7,4,0,13,3,78
SSC10016,13,4,49,10,15,13,4,7,3,110,0,0,0,0,0,0,0,0,0,0,3,6,0,3,3,0,3,0,0,24,5,3,0,6,7,4,0,3,6,46,275,758,344,215,298,102,59,107,29,2189
SSC10017,7,4,25,4,5,9,4,7,3,69,0,0,0,0,0,0,0,0,0,3,4,7,4,3,0,3,3,0,0,26,3,4,3,0,3,0,0,0,3,23,267,756,249,137,229,82,60,72,22,1870
SSC10018,0,0,5,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,7,3,0,3,0,3,0,0,3,0,17,33,33,48,32,27,6,26,19,4,220
SSC10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,3,0,0,0,0,24
SSC10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,11
SSC10021,0,0,4,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31,50,64,29,39,15,16,12,6,270
SSC10022,0,0,3,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,3,0,3,3,16,14,15,20,62,21,17,22,36,6,213
SSC10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,3,0,0,0,0,0,18
SSC10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,3,0,0,0,0,25
SSC10025,25,7,111,31,26,23,18,19,0,269,0,0,0,0,0,0,0,4,0,3,5,0,3,6,6,3,3,0,0,27,5,3,23,9,7,7,6,19,14,102,391,769,964,647,512,238,277,242,44,4086
SSC10026,15,3,53,13,10,12,9,13,3,137,0,0,0,0,0,0,0,0,4,3,0,0,4,0,0,0,3,3,0,17,3,0,22,6,7,3,10,12,10,75,144,278,411,285,215,117,154,172,30,1806
SSC10027,14,4,55,15,6,8,0,3,0,97,0,0,0,0,0,0,0,0,0,3,4,5,0,4,7,0,0,0,0,22,5,6,0,0,0,3,0,3,4,23,285,672,200,157,184,85,29,59,17,1693
SSC10028,3,0,7,3,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,7,20,36,37,37,19,13,10,16,0,191
SSC10029,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,3,4,7,0,3,5,3,52
SSC10030,41,13,63,21,15,11,4,3,3,178,0,0,0,3,0,0,0,0,0,3,26,40,3,8,10,0,5,0,3,102,14,15,7,3,6,4,5,3,16,67,895,2110,338,269,551,278,54,84,67,4646
SSC10031,0,0,10,11,11,3,0,0,3,48,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,16,0,3,8,0,3,5,0,0,3,22,224,360,172,86,196,92,27,33,31,1221
SSC10032,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,19,5,11,3,6,0,0,3,0,44
SSC10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,3,0,0,4,0,20
SSC10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,3,4,0,0,0,0,20
SSC10036,20,3,43,14,10,16,0,4,3,108,0,0,0,0,0,0,0,0,0,0,3,5,4,0,7,0,0,0,3,25,5,0,8,3,4,3,3,0,7,38,517,826,317,205,316,159,37,71,40,2487
SSC10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,9,0,0,3,3,0,3,3,25
SSC10038,7,3,35,17,7,13,0,12,0,95,0,0,0,0,0,0,0,3,0,9,0,6,3,0,0,3,0,4,0,17,4,3,5,7,4,3,5,3,9,42,236,591,237,244,279,209,96,158,36,2094
SSC10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,0,0,13
SSC10040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,10,0,0,7,3,0,33
SSC10041,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,15,3,7,0,4,6,0,50
SSC10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,0,0,0,3,0,0,20
SSC10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,16
SSC10044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,6,6,5,3,0,3,0,50
SSC10045,0,0,3,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,38,50,24,21,18,3,4,8,9,170
SSC10046,8,3,36,12,7,5,4,9,0,91,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,3,0,10,8,3,3,0,3,0,0,3,11,38,176,476,251,197,202,73,47,80,29,1543
SSC10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,3,3,0,0,0,0,26
SSC10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,16
SSC10049,12,3,42,19,11,8,4,14,3,109,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,3,3,0,22,3,3,14,10,10,11,15,14,4,96,153,289,309,230,238,125,134,139,24,1639
SSC10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6
SSC10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,3,0,12
SSC10053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4
SSC10054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3,0,0,3,0,20
SSC10055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,4,3,0,0,0,0,22
SSC10056,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,8,5,7,3,4,4,8,3,56
SSC10057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,0,0,0,11
SSC10058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,14
SSC10059,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,7,10,5,6,0,0,0,73
SSC10060,3,0,24,14,4,7,10,8,0,65,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,14,7,5,4,5,3,3,0,7,0,30,128,192,235,139,109,61,57,70,9,1004
SSC10061,14,8,35,16,12,10,0,3,0,97,0,0,0,0,0,0,0,0,0,3,18,35,7,3,16,0,0,0,7,77,12,14,7,3,10,3,5,3,15,63,844,2177,282,248,456,213,45,75,70,4410
SSC10062,0,0,14,3,4,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,7,112,127,96,39,84,28,12,25,4,520
SSC10063,4,0,22,5,10,12,0,3,3,59,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,3,3,3,0,4,3,0,0,3,19,102,175,225,106,125,59,64,56,10,916
SSC10064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,7
SSC10065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,0,0,9
SSC10066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
SSC10067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,4,5,0,0,10,0,37
SSC10068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5
SSC10069,5,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,29,30,10,15,6,3,12,7,137
SSC10070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,12,6,3,0,5,3,0,7,3,37
SSC10071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
SSC10072,0,0,18,6,0,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,12,92,140,94,44,70,26,10,27,13,501
SSC10073,0,0,10,3,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,3,5,0,0,0,0,3,18,40,86,98,52,59,23,29,25,3,413
SSC10074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,9
SSC10075,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,15,9,3,6,3,0,4,0,67
SSC10076,0,0,0,3,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,26,10,13,13,5,4,5,10,0,89
SSC10077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,7
SSC10078,0,0,14,3,0,0,0,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,3,0,3,0,10,16,46,68,38,24,20,22,29,6,271
SSC10079,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,15,8,11,12,3,3,3,10,0,55
SSC10080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10
SSC10081,3,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,42,24,15,9,11,3,3,5,0,113
SSC10082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,3,3,0,0,0,0,19
SSC10083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
SSC10084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,20,5,3,3,3,0,0,4,0,34
SSC10085,36,6,128,51,29,38,9,36,3,330,0,0,0,5,0,3,0,3,0,7,18,18,9,7,9,0,8,4,0,72,13,33,12,17,11,13,13,33,18,168,777,2397,845,794,836,369,160,438,79,6694
SSC10086,17,6,82,28,11,13,10,7,0,173,0,0,3,0,0,0,0,0,0,6,11,11,6,7,9,3,6,5,4,60,8,10,18,8,9,8,0,9,11,82,446,1047,445,330,444,232,151,264,56,3405
SSC10087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,7
SSC10088,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,13,7,14,0,3,0,12,0,61
SSC10089,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,25,60,23,12,17,7,3,17,3,158
SSC10090,13,9,46,14,8,3,0,6,0,102,0,0,0,0,0,0,0,0,0,6,11,22,8,7,9,3,0,3,0,57,11,23,3,5,9,4,0,3,16,75,700,2026,273,257,487,217,53,93,61,4164
SSC10091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,3,0,0,0,0,0,0,21
SSC10092,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,3,0,14
SSC10093,7,0,12,7,3,5,0,9,0,56,0,0,0,0,0,0,0,0,0,4,4,3,3,0,7,3,0,3,0,25,3,4,6,4,3,5,0,0,0,18,197,467,148,94,163,68,21,44,14,1215
SSC10094,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,11,23,19,11,10,4,4,9,0,88
SSC10095,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,15,5,7,4,0,4,0,46
SSC10096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SSC10097,0,0,9,7,4,0,0,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,7,4,0,0,12,3,7,35,33,58,74,71,49,21,41,46,17,421
SSC10098,43,13,167,55,44,30,24,33,4,406,0,0,9,9,3,3,3,9,0,29,23,38,13,14,37,13,9,6,3,158,12,20,16,26,20,4,3,23,38,166,1036,3503,943,964,1221,613,283,593,165,9323
SSC10099,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,29,14,12,25,7,6,4,14,0,113
SSC10100,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,14,11,17,14,8,9,9,11,0,98
SSC10101,0,0,25,8,7,8,0,11,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,14,3,3,0,4,3,3,28,49,98,159,121,78,51,50,83,6,690
SSC10102,4,0,24,16,4,11,3,8,0,72,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,8,0,0,5,0,3,3,0,3,5,25,191,446,294,167,207,81,87,52,16,1544
SSC10103,4,4,15,6,5,3,0,0,0,40,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,0,0,4,9,0,7,0,0,7,0,0,0,0,18,181,523,138,123,177,63,26,37,16,1279
SSC10104,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,6,3,0,22
SSC10105,0,0,5,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,8,33,32,23,20,18,3,9,19,3,166
SSC10106,18,3,171,48,28,32,21,35,3,377,0,0,11,7,0,6,9,21,0,54,9,18,22,10,15,7,15,16,5,121,23,15,56,30,18,14,28,52,69,297,620,1729,1252,1004,822,759,551,987,205,7923
SSC10107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,11,9,4,4,0,3,0,43
SSC10108,3,3,4,7,3,0,3,0,0,24,0,0,0,0,0,0,0,0,0,3,3,8,0,0,4,0,3,0,0,19,0,4,3,3,0,5,0,0,0,8,159,501,107,68,97,42,19,27,9,1025
SSC10109,8,3,12,5,4,8,0,0,0,40,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,4,0,8,3,3,7,9,5,3,33,99,118,159,60,77,47,49,35,15,655
SSC10110,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,3,3,0,0,8,0,36
SSC10111,23,9,45,13,24,17,4,4,3,149,0,0,0,0,3,0,0,0,0,3,8,13,3,3,3,5,0,4,3,50,4,11,9,0,6,5,3,8,8,52,728,1268,488,275,436,222,45,99,61,3621
SSC10112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9
SSC10113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,5,10,11,3,0,3,0,68
SSC10114,4,6,16,9,8,3,4,8,0,63,0,3,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,3,0,19,3,3,11,0,5,0,7,3,0,27,261,600,236,170,167,86,32,69,19,1632
SSC10115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10116,0,3,12,6,3,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,5,0,3,0,0,12,43,81,130,64,63,38,28,23,3,477
SSC10117,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,3,6,4,3,3,0,4,0,47
SSC10118,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,23,7,19,3,5,9,0,104
SSC10119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,10,0,10,9,3,0,0,58
SSC10120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,3,3,3,5,0,5,4,3,41
SSC10121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7
