SA2_MAINCODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
316071547,3,3,0,0,0,3,0,4,8,89,110,17,219,9,18,26,246,132,4,379
316071548,3,13,0,3,3,16,12,3,29,236,300,35,570,30,37,64,635,397,9,1047
316081549,0,0,0,0,0,0,3,3,12,180,253,22,456,24,28,49,505,330,12,842
317011445,0,0,0,0,0,0,0,0,3,46,57,8,112,8,7,11,128,62,3,194
317011446,0,4,0,0,0,4,3,0,9,167,136,17,315,17,28,46,367,239,3,607
317011447,0,4,0,0,0,4,3,0,4,131,106,12,249,26,18,44,288,225,0,521
317011448,0,5,0,0,0,5,3,5,15,57,59,11,126,12,15,23,152,147,3,301
317011449,0,0,0,0,0,0,0,0,0,64,41,4,110,4,0,7,113,63,0,173
317011450,0,0,0,0,0,0,3,0,4,124,81,9,213,11,15,23,236,96,3,337
317011451,0,0,0,0,0,0,6,5,15,121,83,14,211,18,8,25,236,164,6,408
317011452,0,0,0,0,0,0,0,0,3,75,36,4,114,5,3,9,125,45,0,171
317011453,0,4,0,0,0,4,12,4,14,140,138,10,285,27,18,49,329,257,9,598
317011454,0,0,0,0,0,0,3,0,8,76,69,7,150,21,10,29,182,138,4,332
317011455,0,0,0,0,0,0,3,0,4,128,78,0,212,9,6,16,225,102,0,333
317011456,0,3,0,0,0,3,5,3,11,207,156,20,378,22,19,33,417,290,0,712
317011457,0,0,0,0,0,0,8,0,9,123,95,11,226,14,13,27,248,118,3,370
317011458,0,0,0,0,0,0,0,0,3,152,128,13,287,10,11,15,304,156,0,463
317011459,0,8,0,0,0,8,9,3,19,170,187,21,375,25,32,52,432,334,6,778
318011460,0,3,0,0,0,3,3,5,13,87,95,9,196,13,14,22,221,163,5,392
318011461,0,0,0,0,0,0,3,3,10,55,43,7,101,16,6,19,126,92,9,224
318011462,3,3,0,0,0,3,6,7,16,94,93,18,201,25,13,41,238,164,12,415
318011463,0,0,0,0,0,0,0,3,3,32,24,5,62,4,4,6,68,30,3,106
318011464,0,3,0,0,0,3,3,0,5,40,35,6,75,8,6,15,95,101,4,198
318011465,0,0,0,0,3,3,3,0,5,36,32,7,77,7,9,12,89,80,3,173
318011466,0,0,0,0,0,0,0,0,0,24,20,4,51,6,14,21,68,128,0,200
318021467,0,0,0,0,0,0,4,0,5,77,60,5,143,9,11,17,159,112,0,275
318021468,0,0,0,0,0,0,0,0,0,127,66,5,201,6,6,11,216,71,0,280
318021469,0,0,0,0,0,0,0,0,3,44,21,5,71,0,0,5,71,35,0,105
318021470,0,3,0,0,0,3,0,0,3,96,38,3,141,8,4,15,154,51,0,205
318021471,0,3,0,0,0,4,9,4,16,157,99,16,273,43,24,70,341,264,10,611
318021472,0,3,0,0,0,3,3,0,8,99,53,5,159,21,12,30,189,129,3,325
318021473,0,3,0,0,3,4,13,5,19,330,190,28,549,59,39,94,648,296,4,948
318021474,0,0,0,0,0,0,0,0,0,97,44,6,143,3,5,6,154,51,0,200
318021475,0,0,0,0,0,3,0,3,9,94,47,7,140,16,18,33,175,148,3,328
318021476,0,7,0,0,0,8,6,3,16,145,93,17,244,18,22,36,288,231,7,521
318021477,0,0,0,0,0,0,3,0,5,83,34,7,126,16,13,34,157,123,3,280
318021478,0,0,0,0,0,0,5,3,3,80,63,4,150,12,9,19,171,111,3,285
318021479,0,3,0,0,0,3,0,0,6,91,46,7,144,17,10,26,176,93,0,268
318021480,0,3,0,0,0,3,3,4,11,165,120,23,309,38,17,57,368,282,4,656
318021481,0,0,0,0,0,0,8,4,13,138,92,15,242,20,20,39,282,192,5,476
318021482,0,0,0,0,0,0,0,4,8,332,170,18,525,33,19,54,577,192,7,769
318021483,0,0,0,0,0,0,0,3,3,20,28,5,52,5,3,9,58,31,3,92
318021484,0,0,0,0,0,3,0,0,3,131,98,10,243,22,12,33,277,111,0,393
318021485,0,0,0,0,0,0,0,0,0,59,39,0,100,3,5,5,108,57,0,164
318021486,0,0,0,0,0,0,3,0,8,69,29,7,102,13,7,24,128,108,3,238
318021487,0,3,0,0,0,3,4,0,7,89,64,10,160,4,6,10,167,76,0,245
318021488,0,3,0,0,3,4,4,0,12,67,59,0,130,20,12,32,157,76,0,238
318021489,0,0,0,0,0,0,3,0,3,21,30,3,53,9,3,13,63,42,0,109
318021490,0,0,0,0,0,0,0,0,0,104,61,3,166,19,9,26,193,79,0,274
318021491,0,0,0,0,0,0,3,0,9,82,57,9,141,22,12,32,179,133,5,316
319011492,0,8,0,0,0,8,3,0,10,76,59,7,137,22,7,31,167,121,3,294
319011493,0,0,3,0,3,4,3,6,20,152,132,19,301,38,26,63,367,254,6,628
319011494,0,0,0,0,0,0,8,0,8,42,40,3,83,9,7,16,98,71,0,166
319011495,0,0,0,3,3,5,7,0,10,62,71,10,147,27,25,47,197,194,5,392
319011496,0,3,0,0,0,4,5,3,10,68,67,4,140,16,9,20,163,106,3,276
319011497,0,0,0,0,0,0,3,3,5,69,71,11,149,29,12,43,193,161,8,356
319011498,0,0,0,0,0,0,7,0,10,58,50,3,110,21,12,32,143,171,3,313
319011499,0,3,0,0,0,0,6,0,11,60,72,10,142,19,13,34,179,160,4,341
319011500,0,3,0,0,0,3,0,3,6,86,81,7,171,18,7,24,194,174,7,371
319011501,0,0,0,0,0,0,4,3,4,65,74,6,142,20,13,33,180,145,5,334
319011502,0,0,0,3,0,3,9,4,20,126,124,7,261,31,28,57,317,338,10,669
319021503,0,0,0,0,0,0,4,6,10,45,57,6,108,10,0,9,117,100,3,219
319021504,0,0,0,0,0,0,7,0,11,33,36,3,78,16,8,16,92,124,5,225
319021505,0,0,0,0,0,3,9,3,11,104,137,13,254,18,27,43,300,238,12,545
319021506,0,5,0,0,0,6,9,4,18,77,75,10,157,25,15,49,203,257,11,470
319021507,0,0,0,0,0,0,3,0,3,44,19,3,66,7,0,7,68,55,0,124
319021508,0,0,0,0,0,0,0,3,4,22,27,6,46,11,0,11,56,44,3,106
319021509,0,0,0,0,0,3,6,3,15,60,67,5,136,18,14,33,161,252,14,427
319021510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319031511,0,0,0,0,0,0,8,3,12,29,47,3,75,13,9,25,102,136,12,245
319031512,0,3,0,0,0,6,8,7,14,156,186,16,363,47,34,79,439,463,8,918
319031513,0,0,0,3,3,3,3,0,9,78,85,3,170,15,17,29,202,166,3,370
319031514,0,3,0,0,0,3,11,5,20,128,151,17,295,27,24,53,348,348,14,707
319031515,0,0,0,0,0,0,0,0,3,22,21,4,46,3,3,13,58,59,3,116
319041516,0,0,0,0,0,0,0,3,4,40,40,7,81,6,4,9,89,81,3,171
319041517,0,0,0,0,0,0,8,0,8,35,34,0,73,6,3,10,86,66,0,153
319041518,4,10,0,0,3,6,3,3,14,133,146,12,290,29,27,57,350,334,8,687
319041519,0,0,0,0,0,0,6,0,3,43,65,0,107,13,14,26,138,149,6,291
319041520,3,4,3,0,3,6,7,10,19,175,182,25,381,35,35,66,448,397,15,859
319041521,0,5,0,0,0,5,3,0,12,121,148,15,283,34,20,50,336,263,0,605
319051522,0,0,0,0,0,4,3,4,13,64,60,6,136,34,16,46,180,198,5,383
319051523,0,3,0,0,0,3,0,0,4,20,31,0,48,9,0,10,62,94,3,162
319051524,0,4,0,3,3,5,7,8,24,168,183,23,377,59,37,100,482,546,17,1045
319051525,0,0,0,0,0,0,4,3,5,38,60,0,100,17,11,25,123,153,4,281
319051526,0,0,0,0,0,0,3,0,9,44,41,0,86,7,10,16,99,87,0,194
397979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399999499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401011001,0,0,0,0,0,0,4,0,5,80,51,9,140,5,4,11,147,134,0,281
401011002,0,0,0,0,0,0,0,0,0,54,33,0,97,0,3,9,99,38,0,138
401021003,0,0,0,0,0,0,0,0,0,51,49,6,105,0,3,12,112,44,0,162
401021004,0,3,0,0,0,3,0,0,4,218,168,8,397,6,11,13,412,137,7,549
401021005,0,0,0,0,0,0,0,0,0,52,33,4,87,0,4,4,94,34,0,127
401021006,0,3,0,0,0,0,0,3,7,107,91,13,217,4,8,14,228,88,3,317
401021007,0,3,0,0,0,3,3,3,6,212,268,21,499,12,17,26,528,235,7,772
401021008,0,3,0,0,0,3,3,0,6,68,72,6,143,6,3,12,152,62,0,214
401021009,0,3,0,0,0,3,0,0,8,67,72,8,149,3,3,8,157,56,0,220
401021010,0,0,0,0,0,0,0,0,0,54,33,3,93,3,0,6,95,41,0,135
401031011,0,3,0,0,0,4,3,4,10,219,150,20,392,13,12,32,420,217,4,641
401031012,0,0,0,0,0,0,3,0,3,96,61,9,171,10,6,17,184,91,0,275
401031013,0,0,0,0,0,0,0,0,4,135,139,7,285,8,10,19,304,164,0,465
401041014,0,6,0,0,0,6,3,0,8,114,73,7,196,0,4,4,195,102,0,303
401041015,0,6,0,0,0,6,8,9,20,246,199,20,465,18,21,36,505,332,12,854
401041016,0,0,0,0,0,3,8,5,15,289,210,19,523,24,29,47,573,370,10,950
401051017,0,0,0,0,0,0,3,0,3,147,120,17,282,7,14,22,296,93,4,393
401051018,0,3,0,0,0,3,3,0,3,136,114,8,263,14,11,25,289,190,0,482
401051019,0,3,0,0,0,3,4,0,6,130,103,8,246,4,7,17,260,170,0,431
401061020,0,0,0,0,0,0,0,0,0,68,36,3,113,0,0,4,114,69,3,180
401061021,0,0,0,0,0,0,3,0,3,162,100,8,271,8,8,18,292,143,4,437
401061022,0,0,0,0,0,0,0,0,0,79,39,9,121,6,0,9,130,86,0,217
401071023,0,0,0,0,0,0,3,5,4,197,131,20,347,13,5,17,369,178,8,555
401071024,0,0,0,0,0,0,3,3,8,272,156,15,440,9,13,26,464,191,0,659
402011025,0,3,0,4,4,7,0,3,9,121,100,7,229,9,8,15,242,133,3,388
402011026,7,11,0,0,0,11,9,4,19,273,282,44,607,47,38,84,687,364,9,1060
402011027,0,4,0,0,0,4,3,0,7,60,44,8,107,6,5,8,115,68,0,191
402021028,0,6,0,0,0,6,3,9,16,277,243,32,549,46,36,83,627,356,7,993
402021029,0,7,4,0,4,10,24,17,49,230,289,33,549,88,72,155,704,763,25,1495
402021030,4,3,4,0,3,6,21,4,32,84,115,17,213,45,37,85,299,491,7,797
402021031,3,7,0,0,0,7,12,6,25,157,164,13,338,34,29,60,398,426,14,837
402021032,0,3,0,0,0,3,3,9,14,159,147,25,329,28,29,57,386,273,10,663
402021033,0,0,0,0,0,0,0,0,0,14,9,0,29,6,0,6,32,15,0,44
402021034,0,3,0,0,0,3,23,6,34,138,157,26,322,57,53,104,423,585,12,1026
402021035,0,0,0,0,0,0,3,0,3,32,21,3,50,3,0,3,56,55,0,115
402031036,0,3,0,3,3,8,19,14,33,223,203,22,446,33,37,71,519,576,21,1117
402031037,0,3,0,3,0,3,5,6,16,310,239,23,572,27,24,54,630,426,11,1067
402031038,0,0,0,0,0,0,7,0,11,267,186,30,484,30,25,56,537,376,7,921
402041039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402041040,3,3,0,0,0,3,3,3,8,176,180,25,376,27,27,53,427,328,3,760
402041041,0,6,0,0,0,6,7,3,13,194,178,19,394,21,24,44,434,267,3,705
402041042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402041043,0,3,0,0,0,4,18,8,30,200,179,24,407,33,31,64,470,449,15,932
402041044,3,3,0,0,0,7,9,3,15,277,231,23,535,42,38,74,608,440,6,1053
402041046,0,0,0,0,0,3,10,12,23,232,204,25,461,51,44,93,560,544,19,1122
402041047,6,8,0,0,0,8,11,9,26,240,229,22,488,33,40,75,560,361,10,934
402041048,0,8,0,0,0,8,9,12,27,227,236,36,502,57,51,111,605,573,9,1193
402041171,0,0,0,0,0,0,0,0,5,167,96,13,276,20,13,30,307,122,0,423
402041172,0,3,0,0,0,7,3,0,11,99,83,12,194,19,8,24,223,163,5,390
402051049,0,5,0,0,0,5,5,3,9,170,124,3,297,7,10,14,317,103,3,421
402051050,0,3,0,0,0,3,0,3,4,165,125,8,299,9,3,15,312,97,3,415
402051051,0,0,0,0,0,0,0,0,0,129,95,5,224,7,5,19,244,131,0,370
402051052,0,0,0,0,0,3,0,3,11,201,206,16,422,24,21,44,463,259,6,732
402051053,0,8,0,0,0,5,9,0,17,326,245,22,601,25,21,39,638,277,5,922
402051054,0,5,0,0,0,4,3,0,8,258,184,11,454,21,14,31,485,206,0,690
402051055,0,4,0,0,0,3,3,3,11,170,161,13,341,12,17,30,366,161,3,528
403011056,0,0,0,0,0,0,3,0,3,200,119,17,342,11,9,17,358,155,0,510
403011057,0,3,0,0,0,3,4,0,6,219,200,23,436,12,12,30,466,188,4,654
403021058,4,4,0,0,0,4,4,0,11,178,149,17,340,12,16,28,366,237,0,609
403021059,0,0,0,0,0,3,0,3,10,152,119,20,285,16,15,27,305,143,6,458
403021060,0,4,0,0,0,4,0,3,6,135,84,11,228,8,7,19,252,113,3,366
403021061,0,0,0,0,0,0,3,8,16,169,156,20,342,16,17,32,371,332,10,718
403021062,0,0,0,0,0,3,4,3,11,192,176,13,380,21,14,36,420,265,6,690
403021063,0,3,0,0,0,3,0,0,4,137,131,16,283,3,11,15,291,84,3,378
403021064,0,6,0,0,0,6,0,0,10,235,187,20,438,19,21,36,478,274,7,756
403031065,0,0,0,0,0,0,0,0,0,52,31,3,87,3,0,7,89,34,0,127
403031066,0,0,0,0,0,0,0,0,3,79,55,0,129,10,3,8,140,87,0,226
403031067,0,0,0,0,0,0,0,0,4,143,121,5,270,5,3,9,275,101,5,382
403031068,0,0,0,0,0,0,0,0,4,203,150,18,373,7,11,25,396,156,3,554
403031069,0,0,0,0,0,0,0,3,4,185,144,14,346,12,11,22,367,148,3,520
403031070,0,3,0,0,0,3,3,0,9,91,83,8,177,10,6,20,196,116,0,315
403041071,0,0,0,0,0,0,4,0,6,160,141,16,316,11,13,25,338,145,0,481
403041072,3,3,0,0,0,3,11,0,16,178,285,30,487,28,30,64,554,340,0,893
403041073,0,3,0,0,0,4,9,11,22,103,119,17,239,37,21,58,292,340,10,645
403041074,0,6,0,0,0,6,6,9,23,165,154,15,329,27,28,55,384,254,11,651
403041075,0,0,0,0,0,0,0,0,0,19,22,4,43,0,3,3,46,19,0,63
403041076,0,0,0,0,0,0,0,3,4,58,50,4,112,0,3,4,118,25,3,152
403041077,0,0,0,0,0,0,0,0,0,127,92,10,231,3,8,12,246,85,0,332
403041078,0,0,0,0,0,3,0,3,3,71,91,12,173,11,10,15,189,122,3,313
403041079,0,0,0,0,0,0,4,9,16,105,118,14,235,28,15,45,281,295,14,587
403041080,0,0,0,0,0,0,3,5,9,187,159,12,360,16,6,25,382,129,7,523
403041081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403041082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403041083,0,3,0,0,0,3,0,0,3,60,62,3,128,0,0,0,127,48,0,179
403041084,3,3,0,0,0,3,4,6,16,226,198,31,452,27,26,52,502,320,4,831
403041085,0,9,0,0,0,9,5,10,24,149,169,16,327,19,24,46,370,284,7,666
403041086,0,0,0,3,3,3,3,3,9,142,146,15,302,17,15,27,337,202,5,543
403041087,0,3,0,0,0,8,12,8,28,292,329,30,645,28,27,57,710,442,16,1165
403041088,0,0,0,0,0,0,0,0,0,41,44,0,86,3,3,3,91,20,0,112
403041089,0,3,0,0,0,3,0,0,4,163,153,10,332,12,10,25,353,105,0,463
404011090,0,3,0,0,0,3,3,0,8,93,85,11,189,9,6,18,203,155,3,363
404011091,0,3,0,0,0,3,3,4,6,178,144,15,336,11,14,24,361,316,11,689
404011092,0,3,0,0,0,3,3,4,10,170,137,13,318,12,11,17,340,185,4,527
404011093,0,3,0,0,0,3,11,7,22,206,152,21,379,26,17,37,424,313,7,749
404011094,0,6,0,0,0,6,4,0,11,108,69,6,182,3,4,8,186,148,3,332
404011095,0,6,0,0,0,7,11,6,23,223,199,20,442,19,14,36,481,353,8,844
404011096,0,7,0,0,0,7,3,4,10,151,127,12,291,11,21,30,326,251,3,573
404011097,0,4,0,0,0,4,4,11,24,222,183,24,430,18,35,56,485,388,11,884
404021098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404021099,0,0,0,0,0,3,15,3,20,262,168,19,450,14,22,36,487,242,7,733
404021100,0,3,0,0,0,3,10,3,22,215,176,22,414,26,19,39,459,316,5,784
404021101,0,0,0,0,0,0,5,8,16,176,154,13,350,27,18,39,389,309,17,710
404021102,0,3,0,0,0,3,13,8,24,173,192,11,367,24,40,67,436,577,12,1019
404021103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404031104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404031105,0,0,0,0,0,0,0,0,0,29,24,0,57,0,0,3,55,38,0,93
404031106,0,0,0,0,0,0,3,0,3,138,122,11,275,13,10,15,291,171,3,467
404031107,3,4,0,0,0,4,6,0,10,246,205,17,471,18,22,36,513,319,4,831
404031108,0,3,0,0,0,3,7,3,11,218,147,13,376,15,10,32,405,334,0,744
404031109,0,0,0,0,0,0,0,0,0,47,36,3,86,3,6,13,95,49,0,150
405011110,0,0,0,0,0,0,0,0,0,67,64,6,131,3,4,12,145,69,4,215
405011111,0,3,0,0,0,3,4,0,11,78,81,12,170,25,8,29,203,119,5,322
405011112,0,0,0,0,0,0,0,0,0,52,48,11,107,10,3,10,117,56,0,171
405011113,0,0,0,0,0,0,0,3,3,29,26,3,63,0,3,4,67,37,5,106
405011114,0,0,0,0,0,0,3,0,3,85,57,11,153,5,3,8,164,67,0,232
405011115,0,0,0,0,0,0,4,0,3,66,59,0,127,3,3,4,130,37,0,171
405021116,0,0,0,0,0,0,0,0,0,35,51,9,95,3,0,3,97,41,0,136
405021117,0,0,0,0,0,0,3,0,3,31,33,3,72,8,3,10,76,75,0,156
405021118,0,0,0,0,0,0,0,0,3,21,26,4,51,5,3,11,64,63,0,129
405021119,0,3,0,0,0,3,7,0,8,62,76,12,147,14,9,22,169,174,3,347
405031120,0,0,0,0,0,0,0,0,3,23,33,4,69,3,0,0,71,61,3,136
405031121,0,0,0,0,0,0,0,0,3,44,46,5,90,6,4,11,97,85,3,184
405031122,0,5,0,0,0,5,12,3,22,141,179,14,328,28,34,66,402,378,6,779
405031123,0,0,0,0,0,0,0,0,0,22,24,5,58,3,5,10,66,52,0,112
405041124,0,0,0,0,0,0,3,0,3,46,63,3,115,11,11,27,137,95,4,239
405041125,0,0,0,0,0,0,4,0,4,32,31,3,64,12,6,20,81,73,0,160
405041126,0,0,0,0,0,0,0,0,4,27,25,0,59,4,11,18,75,97,3,180
405041127,0,0,0,0,0,0,0,3,3,34,44,0,86,3,4,9,92,97,3,198
405041128,0,0,0,0,0,0,3,0,3,19,27,0,45,3,5,10,60,47,0,104
406011129,3,3,0,0,0,3,0,5,5,43,25,10,77,0,3,4,79,34,7,119
406011130,0,0,0,0,0,0,0,3,3,50,53,9,107,3,4,6,116,61,3,179
406011131,0,0,0,0,0,0,3,0,5,25,31,5,58,7,4,11,66,25,0,88
406011132,0,0,0,0,0,0,3,0,3,11,17,0,32,0,3,3,32,15,0,47
406011133,0,3,0,0,0,5,18,0,28,152,171,20,336,24,24,47,384,262,11,655
406011134,0,0,0,0,0,4,7,13,21,19,23,3,48,7,0,3,49,50,13,106
406011135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406011136,0,5,0,0,0,7,23,15,48,222,239,25,498,71,50,119,613,555,29,1194
406011137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406021138,3,3,0,0,0,3,0,3,11,20,27,8,47,8,0,8,58,71,6,127
406021139,0,0,0,0,0,0,3,0,6,17,11,5,35,3,3,3,34,28,0,61
406021140,0,0,0,0,0,0,0,0,4,13,17,3,28,7,0,12,39,27,0,66
406021141,0,0,0,0,0,0,0,4,6,8,12,4,25,3,3,4,34,27,6,65
406021142,0,3,0,0,0,3,26,21,48,147,138,25,309,28,25,47,364,330,22,713
406021143,0,0,0,0,0,0,4,0,6,43,16,6,64,5,0,5,71,12,0,90
407011144,0,4,0,0,0,4,0,3,11,74,112,13,199,7,10,19,217,176,3,397
407011145,0,0,0,0,0,0,0,0,3,27,45,3,75,5,4,9,86,45,0,133
407011146,0,3,0,0,0,0,0,0,4,95,79,13,188,0,8,13,199,101,0,298
407011147,0,8,0,0,0,8,0,0,10,65,79,3,147,9,0,7,152,74,0,233
407011148,0,5,0,3,0,9,7,3,15,84,159,12,253,13,19,24,278,228,3,510
407011149,0,0,0,0,0,0,3,0,6,41,56,3,96,8,3,8,106,79,5,188
407021150,0,3,0,0,0,3,0,0,5,34,36,10,76,0,5,10,92,48,3,135
407021151,0,0,0,0,0,0,0,0,3,15,24,3,47,4,4,7,56,29,3,80
407021152,0,3,0,0,0,3,6,0,6,57,63,4,123,3,8,8,133,87,3,226
407021154,0,0,0,0,0,3,0,0,8,61,63,7,126,3,7,11,137,65,3,204
407021155,0,0,0,0,0,0,0,0,3,10,14,0,22,0,0,4,23,9,0,34
407021156,0,0,0,0,0,0,0,0,0,22,28,0,60,0,0,0,57,54,0,116
407021157,0,0,0,0,0,0,0,0,0,42,49,4,99,3,0,6,104,54,0,159
407021158,0,0,0,0,0,0,0,0,0,23,20,3,41,3,4,9,53,32,0,84
407021173,0,0,0,0,0,3,12,7,18,168,180,10,358,22,13,35,397,269,7,673
407021174,0,3,0,0,0,3,5,8,12,162,193,14,374,29,22,48,426,242,6,674
407031159,0,6,0,0,0,6,3,0,9,66,60,3,130,8,8,22,154,125,5,282
407031160,0,3,0,0,0,0,3,0,9,46,43,3,99,11,6,22,118,110,3,231
407031161,0,0,0,0,0,0,0,0,3,32,19,0,51,3,0,3,50,35,0,81
407031162,0,3,0,0,0,3,0,0,12,67,62,3,131,11,4,13,142,80,0,223
407031163,0,0,0,0,0,0,0,0,0,15,10,5,24,3,5,3,29,19,0,49
407031164,0,3,0,0,0,3,0,3,5,46,51,6,99,13,8,20,119,124,6,245
407031165,0,0,0,0,0,3,15,7,26,182,203,24,414,51,34,86,498,387,13,903
407031166,0,0,0,0,0,3,0,0,3,39,24,3,65,3,3,3,72,38,3,111
407031167,0,0,0,0,0,0,3,6,7,55,54,3,113,11,8,20,134,117,6,261
407031168,0,0,0,0,0,0,0,3,6,41,33,3,83,6,0,7,85,48,3,135
407031169,0,0,0,0,0,0,0,0,4,53,51,5,104,3,9,13,121,81,3,207
407031170,0,3,0,0,0,3,5,6,7,39,64,3,106,10,4,13,119,122,6,244
497979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499999499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501011001,0,0,0,0,0,0,0,0,0,39,48,6,94,5,5,12,104,48,3,151
501011002,0,0,0,0,0,0,12,3,15,272,328,27,626,34,41,71,700,351,7,1061
501011003,0,4,0,0,0,4,0,0,3,77,94,16,181,3,9,14,200,75,0,268
501011004,0,0,0,0,0,0,3,0,4,112,142,12,267,6,3,10,278,91,0,369
501021005,0,3,0,0,0,3,8,0,6,175,187,19,380,30,20,48,429,173,0,599
501021007,0,0,0,0,0,0,3,3,7,49,60,10,117,0,10,6,131,84,3,216
501021008,3,3,0,0,0,3,8,3,12,68,100,6,178,12,13,30,207,162,5,378
501021009,0,0,0,0,0,0,4,3,6,60,81,6,154,28,14,40,196,179,5,376
501021010,0,0,0,0,0,0,0,0,0,26,36,4,62,3,7,6,66,16,0,89
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021012,0,3,0,0,0,3,0,0,5,131,145,16,293,15,18,29,323,145,7,478
501021014,0,4,0,0,0,4,3,0,4,55,86,11,160,14,6,22,176,123,3,302
501021015,0,0,0,0,0,0,3,3,4,88,85,12,182,16,18,37,218,126,6,348
501021016,0,0,0,0,0,0,4,3,9,40,36,12,85,10,6,15,105,58,3,167
501021251,0,0,0,0,0,6,3,0,3,144,111,14,264,17,17,34,294,111,3,411
501021252,0,0,0,0,0,0,0,0,0,22,14,3,38,0,3,6,45,18,0,63
501021253,0,0,0,0,0,0,4,3,8,162,136,13,310,14,18,31,340,147,10,496
501021254,0,0,0,0,0,0,7,0,3,70,71,8,145,23,10,29,177,176,3,355
501031017,0,0,0,0,0,0,0,3,3,51,46,11,107,3,3,9,114,72,3,185
501031018,0,0,0,0,0,0,3,0,5,30,38,5,74,9,12,21,92,67,3,166
501031019,0,0,0,0,0,0,0,5,8,57,63,9,125,8,10,16,144,88,4,241
501031020,0,0,0,0,0,0,0,0,3,37,39,7,75,3,5,12,90,57,0,145
502011021,0,0,0,0,0,0,0,0,0,67,70,10,142,14,18,31,176,94,3,274
502011022,0,5,0,0,0,5,0,0,3,93,104,8,208,22,16,31,240,130,0,370
502011023,0,3,0,0,0,3,10,3,16,99,120,19,241,16,19,35,279,265,6,552
502011024,3,3,0,0,0,3,3,0,5,182,162,21,356,32,29,65,424,224,3,647
502011025,0,0,0,0,0,3,8,5,14,101,107,13,220,21,23,47,270,250,10,530
502011026,0,6,0,0,0,6,0,0,4,56,53,4,113,14,10,25,136,101,0,236
502011027,0,3,0,0,0,6,15,0,15,184,171,23,377,27,27,52,429,261,3,687
502011028,0,0,0,0,0,0,3,3,5,112,95,12,217,20,19,41,262,248,7,511
502011029,0,0,0,0,0,0,6,3,10,77,95,10,174,16,19,34,210,190,5,406
503011030,0,0,0,0,0,0,0,0,0,52,27,0,82,0,3,4,89,64,0,152
503011031,0,3,0,0,0,3,0,0,0,99,71,5,172,10,9,20,188,85,0,276
503011032,0,0,0,0,0,0,0,0,0,62,70,8,135,4,3,7,143,58,0,199
503011033,0,0,0,0,0,0,0,0,0,68,70,5,137,4,4,7,147,61,3,207
503011034,0,0,0,0,0,0,3,0,4,92,80,6,178,10,6,17,196,108,3,309
503011035,0,3,0,0,0,3,0,0,3,141,92,6,240,11,13,22,261,146,0,403
503011036,0,0,0,0,0,0,3,0,3,89,51,6,148,3,7,8,158,71,3,234
503021037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503021038,0,0,0,0,0,0,3,0,3,101,80,7,191,4,10,20,212,96,0,303
503021039,0,3,0,0,0,3,3,0,5,162,124,14,293,9,15,19,319,133,4,454
503021040,0,0,0,0,0,0,3,0,3,79,46,8,136,5,8,15,150,85,0,236
503021041,0,0,0,0,0,0,6,0,8,164,82,13,266,21,20,44,309,196,0,504
503021042,0,4,0,0,0,4,0,0,5,186,117,8,316,16,12,25,340,123,3,471
503021043,0,4,0,0,0,4,0,3,3,142,121,8,272,19,12,29,306,136,6,443
504011044,4,4,0,0,0,0,5,3,10,223,157,22,401,19,20,40,447,253,10,711
504011045,0,3,0,0,0,3,7,7,16,292,239,21,551,33,27,57,607,317,8,932
504011046,0,3,0,0,0,3,0,0,5,122,93,8,220,16,18,33,257,125,0,377
504011047,0,3,0,0,0,3,10,3,15,268,217,14,499,24,35,62,559,350,8,920
504011048,0,0,0,0,0,0,3,0,5,111,73,6,191,14,6,18,208,98,3,309
