SAL_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SAL10001,6,0,8,0,0,0,0,0,7,12
SAL10002,305,462,254,154,379,206,119,131,31,2037
SAL10003,600,960,192,148,407,212,40,85,51,2701
SAL10004,98,137,84,65,91,56,35,49,0,618
SAL10005,3,0,0,4,0,0,0,0,0,10
SAL10006,67,85,189,203,94,121,147,155,20,1078
SAL10007,70,74,214,102,82,59,180,140,21,947
SAL10008,39,7,4,3,3,4,3,8,0,71
SAL10009,317,500,560,500,419,320,391,315,47,3372
SAL10010,87,98,210,140,124,87,175,162,11,1094
SAL10011,16,12,31,25,17,12,32,21,6,170
SAL10012,10,0,0,0,4,0,0,3,0,17
SAL10013,5,0,0,0,0,0,0,7,0,11
SAL10014,267,563,192,188,341,175,124,117,31,1989
SAL10015,35,14,15,13,12,0,13,22,3,134
SAL10016,397,1075,441,429,452,282,141,245,23,3486
SAL10017,404,930,342,313,346,214,117,165,41,2860
SAL10018,46,47,56,40,46,39,64,63,10,421
SAL10019,19,4,5,0,4,0,3,6,0,42
SAL10020,3,0,0,0,0,0,0,3,0,11
SAL10021,84,74,93,43,70,41,40,44,9,506
SAL10022,49,81,91,121,70,62,107,132,22,725
SAL10023,6,13,6,3,0,6,0,8,0,48
SAL10024,23,6,8,6,0,0,0,0,0,41
SAL10025,612,1052,1206,990,932,680,674,693,104,6936
SAL10026,256,340,491,506,359,272,326,337,55,2929
SAL10027,414,743,282,264,315,213,93,163,40,2529
SAL10028,36,40,40,54,32,34,24,30,3,293
SAL10029,32,13,6,4,11,3,9,6,0,82
SAL10030,1454,2945,453,391,724,407,109,164,97,6742
SAL10031,287,419,213,132,305,123,65,60,19,1622
SAL10032,12,4,7,3,8,6,3,8,0,57
SAL10033,0,0,0,0,0,0,0,0,0,0
SAL10034,4,11,3,0,10,5,0,4,0,35
SAL10035,15,12,3,3,9,0,0,0,0,49
SAL10036,768,1017,390,357,442,305,95,175,42,3599
SAL10037,5,11,6,0,4,3,3,4,0,41
SAL10038,251,691,292,318,341,250,151,311,55,2651
SAL10039,13,7,6,4,0,0,4,3,0,31
SAL10040,4,9,6,10,9,3,3,6,0,64
SAL10041,7,5,11,5,9,9,15,18,3,85
SAL10042,3,5,0,0,3,4,4,0,0,25
SAL10043,14,4,0,0,4,0,0,3,0,29
SAL10044,19,20,10,7,9,7,0,3,0,75
SAL10045,51,50,36,34,24,19,5,17,3,236
SAL10046,313,537,327,361,297,216,101,263,37,2461
SAL10047,12,8,8,0,3,0,0,5,7,42
SAL10048,3,6,0,3,0,3,3,5,0,21
SAL10049,247,325,334,316,355,289,361,327,62,2605
SAL10050,3,0,0,0,0,0,0,0,0,11
SAL10051,8,0,0,0,0,0,0,0,0,7
SAL10052,17,5,0,0,4,0,0,0,0,21
SAL10053,7,0,3,0,4,0,0,3,3,24
SAL10054,15,0,0,0,0,0,0,4,0,25
SAL10055,11,8,3,0,5,0,0,7,0,37
SAL10056,11,14,9,5,6,4,11,19,0,81
SAL10057,0,0,0,0,0,0,0,4,0,10
SAL10058,5,0,4,0,4,0,0,6,0,16
SAL10059,21,23,9,13,4,3,0,6,0,87
SAL10060,30,21,21,9,20,10,21,18,5,158
SAL10061,152,226,327,244,192,171,106,181,31,1633
SAL10062,1139,2416,332,343,586,332,66,120,74,5403
SAL10063,148,130,136,61,123,57,27,53,15,760
SAL10064,182,243,296,162,232,126,147,133,32,1559
SAL10065,10,0,3,0,0,0,0,0,0,27
SAL10066,11,4,6,0,0,0,0,5,0,21
SAL10067,5,4,5,0,0,0,0,0,0,11
SAL10068,14,8,0,12,8,6,5,5,0,52
SAL10069,6,0,0,0,0,0,0,0,0,6
SAL10070,24,33,29,26,16,15,8,12,0,169
SAL10071,23,16,16,7,9,11,4,7,5,95
SAL10072,3,0,0,0,0,0,0,0,0,3
SAL10073,166,193,99,65,79,47,20,56,8,743
SAL10074,70,105,137,91,96,50,52,62,15,669
SAL10075,7,3,4,0,3,0,0,0,3,20
SAL10076,34,14,12,5,13,6,0,6,0,94
SAL10077,59,12,14,15,7,15,14,14,4,157
SAL10078,0,4,4,0,0,0,4,7,0,11
SAL10079,37,71,109,80,57,67,61,81,6,585
SAL10080,17,4,9,14,7,10,5,9,0,79
SAL10081,3,0,0,0,0,0,0,0,0,5
SAL10082,56,26,14,13,12,9,7,28,5,176
SAL10083,7,0,3,0,3,0,0,0,0,23
SAL10084,5,0,0,0,0,0,0,0,0,12
SAL10085,35,11,3,8,6,5,0,11,5,68
SAL10086,1301,2781,1207,1381,1179,885,397,1111,147,10396
SAL10087,729,1510,608,497,774,434,319,498,105,5480
SAL10088,0,0,0,0,0,0,0,0,0,6
SAL10089,17,20,11,14,13,4,6,79,4,163
SAL10090,50,63,32,48,40,27,12,39,0,305
SAL10091,811,2227,296,323,600,295,80,164,84,4888
SAL10092,9,10,3,0,0,0,5,3,0,23
SAL10093,21,0,0,0,0,0,0,0,0,21
SAL10094,318,540,144,98,241,121,49,75,19,1601
SAL10095,21,18,19,10,7,3,3,7,0,88
SAL10096,16,15,21,13,10,14,8,10,0,110
SAL10097,0,0,0,0,0,0,0,3,0,11
SAL10098,39,85,113,105,100,68,145,131,40,837
SAL10099,1420,4302,1109,1215,1494,825,419,935,214,11925
SAL10100,62,15,19,35,16,10,18,40,13,219
SAL10101,33,22,30,12,20,10,18,24,0,178
SAL10102,87,118,196,200,126,155,131,251,39,1295
SAL10103,295,495,358,277,314,234,192,195,27,2396
SAL10104,451,1168,318,361,442,217,104,167,38,3266
SAL10105,17,4,3,0,0,0,0,5,0,27
SAL10106,50,33,49,28,27,26,29,35,8,278
SAL10107,860,2187,1669,1890,1284,1213,1274,2371,553,13300
SAL10108,16,10,19,11,0,3,0,3,0,67
SAL10109,213,545,140,116,138,66,35,41,19,1313
SAL10110,349,695,340,281,467,237,289,224,65,2950
SAL10111,8,10,14,6,7,10,9,14,0,77
SAL10112,1100,1433,626,435,555,381,99,249,83,4965
SAL10113,3,0,6,0,0,0,0,0,0,10
SAL10114,25,20,15,14,13,3,0,14,3,110
SAL10115,376,738,272,248,285,175,67,143,20,2309
SAL10116,0,0,0,0,0,0,0,0,0,0
SAL10117,82,116,135,111,104,69,74,80,13,774
SAL10118,19,17,15,14,10,9,10,5,0,95
SAL10119,19,34,32,23,36,19,26,28,0,215
SAL10120,16,18,19,17,13,10,7,13,0,115
SAL10121,29,11,4,0,6,3,13,5,0,70
SAL10122,10,0,0,0,0,0,0,3,0,6
SAL10123,0,0,0,0,0,0,0,0,0,0
SAL10124,11,4,0,3,0,5,3,3,0,22
SAL10125,9,4,0,0,0,0,0,0,0,9
SAL10126,5,0,0,0,0,0,0,0,0,7
SAL10127,0,0,0,0,0,0,0,0,0,3
SAL10128,0,0,0,0,0,0,0,0,0,0
SAL10129,5,0,0,0,0,0,0,3,0,14
SAL10130,5,21,7,9,3,7,0,0,4,47
SAL10131,19,10,13,0,11,3,11,11,3,79
SAL10132,4,0,0,0,0,0,0,0,0,8
SAL10133,26,8,3,0,8,0,4,3,0,53
SAL10134,0,0,0,0,0,0,0,0,0,4
SAL10135,5,0,6,3,7,0,6,4,0,31
SAL10136,7,0,0,0,0,5,0,0,0,18
SAL10137,6,0,0,0,5,0,0,7,0,23
SAL10138,3,0,7,4,4,0,0,0,0,17
SAL10139,0,8,3,4,3,4,0,4,0,32
SAL10140,9,0,0,0,0,0,0,0,0,12
SAL10141,0,0,4,0,0,0,0,0,0,6
SAL10142,6,0,0,0,0,0,0,0,0,12
SAL10143,16,5,0,7,0,0,0,0,0,29
SAL10144,31,41,63,40,37,27,21,22,5,292
SAL10145,16,9,3,0,5,3,0,7,0,56
SAL10146,51,71,90,52,55,34,28,38,15,424
SAL10147,13,0,7,0,0,0,0,8,0,28
SAL10148,24,30,31,23,19,4,14,18,0,168
SAL10149,7,0,0,4,0,0,0,0,0,12
SAL10150,0,0,0,0,0,0,0,0,0,7
SAL10151,12,3,0,0,4,5,0,7,0,31
SAL10152,18,4,3,0,3,0,6,4,0,40
SAL10153,7,3,0,0,0,0,0,0,0,18
SAL10154,1008,1536,302,337,472,334,76,122,61,4250
SAL10155,487,652,67,108,167,114,17,35,33,1678
SAL10156,376,728,347,317,335,166,129,179,48,2635
SAL10157,5,0,4,0,0,0,4,0,0,12
SAL10158,16,8,13,3,3,4,5,13,6,64
SAL10159,0,3,3,0,0,0,0,0,0,6
SAL10160,19,6,0,4,3,3,6,10,0,60
SAL10161,13,10,11,11,5,3,3,0,0,52
SAL10162,29,21,23,6,14,6,5,20,0,120
SAL10163,354,624,518,575,357,376,167,502,53,3527
SAL10164,0,0,0,0,0,0,0,0,0,0
SAL10165,1506,2438,294,303,583,346,55,105,71,5711
SAL10166,261,452,42,40,102,54,7,17,9,983
SAL10167,42,71,70,39,49,18,42,31,5,367
SAL10168,33,39,58,29,34,24,26,17,6,260
SAL10169,90,62,66,72,43,29,66,91,12,520
SAL10170,0,3,3,3,0,0,0,4,0,21
SAL10171,0,0,0,0,0,0,0,0,0,0
SAL10172,22,9,7,3,10,3,8,8,0,68
SAL10173,3,0,0,0,0,0,0,0,0,3
SAL10174,80,85,57,49,39,43,21,22,6,395
SAL10175,258,423,150,126,116,109,27,89,18,1319
SAL10176,12,4,0,0,0,5,0,3,3,25
SAL10177,22,12,11,0,10,5,0,0,0,68
SAL10178,481,704,348,260,460,244,98,148,23,2772
SAL10179,214,360,169,150,231,114,96,104,33,1478
SAL10180,44,93,30,26,39,28,11,11,0,284
SAL10181,915,2464,1256,1390,1626,1030,1109,1353,324,11469
SAL10182,0,0,0,0,0,0,0,0,0,3
SAL10183,4,4,3,0,3,3,0,3,0,23
SAL10184,31,12,9,5,6,7,6,3,3,78
SAL10185,4,0,0,0,0,0,0,3,0,13
SAL10186,724,1080,1053,996,900,816,351,716,148,6768
SAL10187,0,0,0,0,0,0,9,3,0,14
SAL10188,109,292,61,84,75,39,21,31,9,718
SAL10189,8,10,4,3,5,3,0,3,0,37
SAL10190,4,3,0,0,0,0,4,0,0,11
SAL10191,59,41,20,41,26,9,17,55,4,276
SAL10192,47,41,0,0,18,8,0,0,7,124
SAL10193,0,0,0,0,0,0,0,0,0,0
SAL10194,395,538,338,229,385,209,90,123,28,2332
SAL10195,301,730,272,298,336,179,216,190,66,2593
SAL10196,196,363,108,88,191,90,38,53,5,1131
SAL10197,160,293,107,70,143,88,52,56,16,986
SAL10198,65,24,21,16,19,9,26,28,6,214
SAL10199,259,256,383,202,267,174,234,243,66,2077
SAL10200,113,84,87,55,79,47,53,108,16,645
SAL10201,0,0,0,0,0,0,0,0,0,0
SAL10202,12,10,6,13,3,0,0,8,0,56
SAL10203,63,13,8,5,6,4,5,20,3,132
SAL10204,0,0,0,0,0,0,0,0,0,0
SAL10205,73,75,189,121,125,68,101,133,17,910
SAL10206,135,115,121,105,107,67,63,147,9,881
SAL10207,85,57,44,59,31,34,38,81,0,429
SAL10208,169,315,452,398,301,215,217,319,30,2417
SAL10209,54,79,42,41,48,24,22,22,3,337
SAL10210,8,9,0,4,4,4,0,5,5,48
SAL10211,7,3,4,8,7,0,0,0,3,36
SAL10212,5,0,0,0,0,0,0,3,0,9
SAL10213,0,0,0,0,0,0,0,0,0,0
SAL10214,29,27,15,12,9,10,0,10,3,110
SAL10215,4,0,0,0,0,0,0,0,0,8
SAL10216,7,4,0,3,4,0,0,0,0,23
SAL10217,41,24,23,12,13,10,3,17,0,157
SAL10218,0,0,0,0,0,0,0,0,0,0
SAL10219,20,8,12,11,10,8,4,16,0,82
SAL10220,0,0,0,0,0,0,0,0,0,0
SAL10221,38,11,0,0,6,3,0,9,0,70
SAL10222,0,0,0,0,0,0,0,0,0,0
SAL10223,64,102,108,101,72,68,44,77,8,642
SAL10224,318,594,370,306,464,281,290,279,70,2991
SAL10225,0,0,0,0,0,0,0,0,0,5
SAL10226,9,6,3,3,3,0,0,3,0,35
SAL10227,591,1051,850,716,688,495,297,472,73,5245
SAL10228,84,100,103,108,80,95,35,82,18,697
SAL10229,64,43,76,84,45,67,32,82,17,510
SAL10230,3,3,0,7,0,0,0,3,0,24
SAL10231,337,761,419,569,335,317,191,367,48,3338
SAL10232,76,40,48,57,47,16,69,140,9,502
SAL10233,2982,6204,1753,1342,2746,1306,593,823,278,18040
SAL10234,24,23,21,20,22,8,9,11,7,140
SAL10235,52,75,55,28,22,36,5,24,3,310
SAL10236,0,0,0,0,0,0,0,0,0,0
SAL10237,393,407,119,108,180,119,41,62,32,1449
SAL10238,784,1061,475,367,563,371,142,252,59,4068
SAL10239,178,329,52,60,103,49,25,23,20,832
SAL10240,11,4,0,0,3,0,0,0,0,23
SAL10241,27,0,0,3,3,0,0,3,0,34
SAL10242,21,10,11,0,0,3,0,5,0,55
SAL10243,909,1547,405,405,722,452,135,223,65,4858
SAL10244,30,10,6,9,6,4,5,3,0,65
SAL10245,33,18,10,11,16,6,15,4,0,114
SAL10246,10,3,4,4,0,0,0,4,0,24
SAL10247,23,11,4,4,5,6,3,10,0,61
SAL10248,28,62,78,68,55,39,34,48,5,424
SAL10249,965,2014,274,283,666,348,59,139,63,4818
SAL10250,0,0,0,0,0,0,0,0,0,0
SAL10251,28,24,31,10,20,27,14,30,4,178
SAL10252,3,0,0,0,4,0,0,4,0,20
SAL10253,164,352,250,317,215,204,123,403,34,2057
SAL10254,28,7,3,3,6,0,4,24,0,70
SAL10255,5,5,0,0,0,0,0,0,0,8
SAL10256,14,11,10,5,6,4,3,7,6,54
SAL10257,355,604,322,247,457,228,136,173,44,2575
SAL10258,15,15,23,11,5,3,14,8,0,99
SAL10259,3,0,0,0,0,0,0,0,0,6
SAL10260,16,7,11,5,18,3,0,0,0,63
SAL10261,36,42,60,24,47,10,24,25,13,284
SAL10262,0,5,5,0,3,0,0,0,0,17
SAL10263,892,1661,277,224,722,314,98,134,68,4401
SAL10264,130,324,274,231,167,100,103,171,29,1521
SAL10265,18,10,6,3,0,0,4,6,5,51
SAL10266,54,12,3,0,16,8,18,9,0,120
SAL10267,15,19,0,4,0,4,0,4,0,40
SAL10268,85,93,188,152,107,95,120,132,10,989
SAL10269,26,48,63,49,42,25,53,47,3,358
SAL10270,29,19,9,9,3,3,7,26,3,111
SAL10271,1301,2397,246,297,578,406,44,109,164,5536
SAL10272,12,4,5,0,5,6,3,11,0,50
SAL10273,183,484,193,245,151,121,67,147,29,1612
SAL10274,19,16,13,6,10,0,0,8,0,67
SAL10275,3,8,3,0,0,0,0,3,0,17
SAL10276,336,610,488,406,398,281,172,339,48,3072
SAL10277,278,565,562,396,416,240,198,303,38,3002
SAL10278,44,56,85,81,57,44,24,62,0,453
SAL10279,543,1133,614,643,776,451,390,468,143,5155
SAL10280,29,10,12,10,11,3,9,14,0,107
SAL10281,7,0,0,0,0,0,0,0,0,14
SAL10282,0,0,0,0,0,0,0,0,0,6
SAL10283,859,1188,393,317,588,370,111,187,52,4056
SAL10284,55,19,30,28,32,13,20,34,0,231
SAL10285,9,0,6,5,0,0,3,5,0,35
SAL10286,29,10,0,3,0,0,6,11,0,64
SAL10287,11,3,0,8,8,5,7,10,6,66
SAL10288,6,8,7,7,4,6,0,0,0,40
SAL10289,42,20,18,25,18,9,20,32,5,193
SAL10290,21,9,7,5,0,0,10,10,0,68
SAL10291,17,19,20,18,6,5,14,12,4,114
SAL10292,12,18,9,9,6,3,0,4,0,54
SAL10293,22,0,3,6,5,3,3,9,6,52
SAL10294,0,4,0,0,0,0,0,0,0,10
SAL10295,0,0,0,0,0,0,0,0,0,0
SAL10296,18,7,3,0,7,0,5,0,0,38
SAL10297,178,291,180,154,175,120,53,83,25,1257
SAL10298,28,18,11,8,11,7,5,17,0,110
SAL10299,258,690,357,325,410,217,327,489,137,3202
SAL10300,4,19,10,10,3,3,9,9,0,59
SAL10301,94,144,255,210,149,104,154,289,27,1433
SAL10302,14,10,15,14,10,8,3,9,0,80
SAL10303,201,389,495,396,345,278,293,434,52,2888
SAL10304,416,692,775,602,561,394,329,453,62,4287
SAL10305,82,37,103,32,69,28,66,44,6,480
SAL10306,0,0,0,0,0,0,0,0,0,0
SAL10307,95,102,131,96,49,72,22,78,18,675
SAL10308,463,802,260,220,396,164,64,140,27,2549
SAL10309,442,803,376,254,381,210,83,140,25,2718
SAL10310,23,25,9,3,11,6,0,0,0,76
SAL10311,18,33,45,29,32,22,12,15,0,211
SAL10312,23,31,31,12,13,7,4,11,3,129
SAL10313,31,6,4,0,0,0,0,4,0,54
SAL10314,6,3,0,3,0,0,0,0,0,10
SAL10315,82,93,104,88,70,55,39,76,17,624
SAL10316,9,0,0,0,3,0,0,3,0,23
SAL10317,111,47,59,48,49,26,54,76,15,484
SAL10318,26,19,21,8,9,4,5,9,4,106
SAL10319,83,94,56,19,37,19,19,20,6,363
SAL10320,0,0,6,0,3,0,0,0,0,11
SAL10321,239,340,155,112,131,90,36,70,14,1181
SAL10322,37,6,7,0,4,3,0,5,0,53
SAL10323,0,5,0,0,0,0,0,0,0,6
SAL10324,13,16,18,8,11,5,3,0,0,78
SAL10325,14,4,0,0,5,0,0,7,0,37
SAL10326,6,0,8,0,6,4,5,8,0,42
SAL10327,23,5,11,9,7,4,0,10,0,69
SAL10328,7,3,0,0,0,5,0,0,0,16
SAL10329,175,324,139,92,176,96,61,50,15,1129
SAL10330,570,1250,437,410,708,378,280,289,87,4415
SAL10331,4,9,8,10,0,5,4,3,0,36
SAL10332,36,67,31,30,25,18,10,30,4,253
SAL10333,1046,2138,961,740,1315,692,568,658,173,8290
SAL10334,270,551,200,132,302,148,81,120,37,1833
SAL10335,20,6,0,0,0,0,0,5,0,44
SAL10336,10,4,0,8,0,4,11,14,0,45
SAL10337,32,4,0,4,8,0,0,3,0,52
SAL10338,13,3,0,0,0,0,0,0,0,24
SAL10339,48,65,98,133,98,76,178,164,53,905
SAL10340,25,13,0,4,3,3,3,7,0,63
SAL10341,8,8,5,7,0,0,0,3,0,29
SAL10342,16,8,9,0,0,0,3,9,0,45
SAL10343,4,0,0,0,0,0,0,0,0,4
SAL10344,21,13,12,4,12,8,0,5,0,75
SAL10345,51,9,10,3,10,5,0,18,0,104
SAL10346,19,32,43,25,27,18,15,22,0,195
SAL10347,178,345,278,206,166,145,84,158,30,1598
SAL10348,78,37,57,22,49,16,19,35,7,322
SAL10349,28,37,11,7,6,8,0,3,3,106
SAL10350,404,596,197,142,203,139,42,69,30,1818
SAL10351,16,3,0,0,0,0,0,3,0,22
SAL10352,4,0,0,0,0,0,0,3,0,9
SAL10353,20,9,3,4,3,7,6,6,0,56
SAL10354,14,28,14,14,3,8,8,19,0,101
SAL10355,4,3,3,3,0,0,0,3,4,26
SAL10356,12,16,22,11,13,8,3,12,4,101
SAL10357,60,49,67,25,25,22,17,27,12,306
SAL10358,0,0,0,0,0,0,0,0,0,0
SAL10359,10,5,0,0,4,0,0,5,0,27
SAL10360,3,7,5,4,6,5,7,8,0,51
SAL10361,68,38,36,24,34,16,12,23,4,252
SAL10362,58,9,15,11,12,5,3,12,5,133
SAL10363,6,0,0,0,0,0,0,4,0,6
SAL10364,55,48,47,67,52,36,33,64,0,405
SAL10365,6,0,0,3,0,0,0,4,0,12
SAL10366,10,16,14,3,9,6,0,6,6,77
SAL10367,0,0,0,0,0,0,0,0,0,13
SAL10368,20,6,8,4,8,0,14,13,0,73
SAL10369,24,43,23,17,18,7,11,17,5,172
SAL10370,20,38,14,10,6,8,4,8,0,96
SAL10371,56,23,18,30,21,6,9,38,11,208
SAL10372,33,16,7,3,6,4,7,9,5,72
SAL10373,447,803,64,83,169,78,5,24,16,1706
SAL10374,6,3,0,0,0,0,3,4,0,12
SAL10375,13,0,4,0,0,0,0,8,0,32
SAL10376,67,262,205,235,116,161,97,167,31,1342
SAL10377,8,4,3,0,0,0,0,0,0,26
SAL10378,84,265,129,107,169,83,106,133,35,1104
SAL10379,20,12,25,16,10,6,13,16,3,117
SAL10380,20,10,10,0,13,0,5,9,0,75
SAL10381,4,4,8,4,8,0,0,0,0,31
SAL10382,0,0,0,4,0,0,5,0,0,9
SAL10383,35,69,40,38,41,23,9,22,3,286
SAL10384,42,60,31,28,46,22,12,16,7,264
SAL10385,3,0,0,0,0,0,0,0,0,8
SAL10386,40,36,19,7,15,6,8,11,3,150
SAL10387,12,17,21,10,14,10,9,15,0,109
SAL10388,41,9,10,3,3,4,6,10,0,90
SAL10389,84,201,220,205,156,104,122,145,15,1250
SAL10390,168,278,249,182,206,158,116,146,22,1531
SAL10391,57,66,93,132,127,68,243,171,38,996
SAL10392,257,633,260,238,205,112,72,132,31,1943
SAL10393,4,0,0,0,0,0,0,0,0,5
SAL10394,14,13,4,10,10,3,4,5,0,58
SAL10395,83,122,143,106,110,100,39,95,21,807
SAL10396,1757,4341,2399,2349,3139,1730,3232,2348,547,21842
SAL10397,23,4,3,4,5,0,0,16,0,50
SAL10398,99,171,137,96,122,54,51,73,22,823
SAL10399,117,312,157,125,218,112,140,136,34,1343
SAL10400,15,26,25,15,27,8,19,24,4,160
SAL10401,12,8,15,3,16,9,7,7,4,77
SAL10402,572,950,270,185,501,263,96,126,75,3036
SAL10403,17,5,7,3,9,3,3,0,0,50
SAL10404,15,0,0,3,4,0,0,0,0,28
SAL10405,18,16,14,6,14,4,12,19,0,108
SAL10406,501,1139,431,364,490,215,147,243,46,3588
SAL10407,7,14,4,0,5,9,0,0,0,48
SAL10408,42,40,70,31,55,20,24,20,10,309
SAL10409,152,175,246,194,174,119,189,229,34,1516
SAL10410,344,450,572,412,479,273,360,343,66,3288
SAL10411,41,5,8,0,11,0,7,13,0,91
SAL10412,0,0,0,0,0,0,0,0,0,0
SAL10413,67,106,50,73,56,55,14,30,15,465
SAL10414,254,277,447,445,362,346,313,392,44,2875
SAL10415,6,16,11,6,4,4,4,10,5,59
SAL10416,0,0,0,0,0,0,0,0,0,0
SAL10417,11,0,0,0,0,0,0,0,0,16
SAL10418,12,9,4,6,0,0,3,4,0,46
SAL10419,27,16,12,10,14,12,0,8,0,98
SAL10420,125,218,111,117,106,78,34,84,12,884
SAL10421,240,402,343,377,308,268,159,266,39,2401
SAL10422,10,8,0,3,0,4,0,0,0,35
SAL10423,3,4,0,0,0,0,0,0,0,7
SAL10424,65,110,81,64,61,36,25,27,9,472
SAL10425,13,0,0,5,4,0,0,0,0,25
SAL10426,15,18,6,13,3,0,3,9,3,60
SAL10427,10,4,5,4,6,0,6,6,0,53
SAL10428,36,24,52,26,27,20,21,20,4,240
SAL10429,7,3,0,0,3,0,0,0,0,21
SAL10430,0,5,0,0,0,0,0,0,0,5
SAL10431,12,3,4,3,4,5,8,9,0,43
SAL10432,9,0,4,0,0,0,0,5,0,28
SAL10433,61,41,55,50,35,18,21,50,11,342
SAL10434,14,3,3,4,8,3,0,6,0,38
SAL10435,23,5,9,0,10,0,4,4,0,58
SAL10436,16,3,0,0,0,0,6,5,0,31
SAL10437,36,7,20,6,3,6,9,7,0,101
SAL10438,184,341,264,235,165,128,66,168,17,1576
SAL10439,4,4,3,0,0,0,3,4,0,24
SAL10440,55,18,16,35,21,18,17,39,6,234
SAL10441,72,30,57,53,35,21,136,78,8,485
SAL10442,0,0,0,0,0,0,0,0,0,0
SAL10443,14,17,12,10,6,11,21,8,9,100
SAL10444,6,6,7,4,7,5,3,5,0,32
SAL10445,10,4,0,0,0,0,0,0,0,10
SAL10446,13,9,3,0,3,6,0,5,0,41
SAL10447,11,11,7,0,10,3,0,6,0,50
SAL10448,58,126,120,118,85,77,59,92,7,740
SAL10449,103,158,98,82,76,52,42,51,10,672
SAL10450,243,426,281,184,225,147,124,114,25,1774
SAL10451,0,0,0,0,0,0,0,0,0,0
SAL10452,228,448,388,414,271,278,163,332,55,2595
SAL10453,0,0,0,5,3,0,0,0,0,10
SAL10454,88,60,76,66,60,51,107,98,14,619
SAL10455,25,16,7,11,9,0,0,0,0,64
SAL10456,56,56,29,24,30,14,22,12,9,254
SAL10457,9,30,20,13,7,7,7,5,0,91
SAL10458,29,23,30,21,17,11,13,14,6,157
SAL10459,10,5,9,0,0,0,5,4,0,29
SAL10460,3,5,0,0,0,0,0,3,0,25
SAL10461,20,18,9,24,3,7,0,13,0,98
SAL10462,1242,2524,456,423,552,404,138,238,120,6098
SAL10463,1612,3119,482,450,603,513,103,198,163,7247
SAL10464,0,0,0,0,0,0,0,0,0,0
SAL10465,1130,2242,469,427,587,358,117,282,126,5736
SAL10466,175,293,253,232,247,164,132,176,30,1700
SAL10467,220,370,127,95,191,80,33,41,10,1172
SAL10468,158,293,208,229,159,120,67,126,13,1366
SAL10469,236,476,384,294,426,233,450,445,85,3022
SAL10470,279,502,323,230,394,245,369,332,59,2726
SAL10471,27,7,0,5,6,0,3,7,0,61
SAL10472,234,267,191,182,205,131,62,144,15,1427
SAL10473,12,9,7,3,9,6,3,9,0,69
SAL10474,34,11,6,0,3,0,0,0,0,54
SAL10475,82,111,73,41,74,44,21,26,11,492
SAL10476,25,11,4,8,8,4,0,8,3,68
SAL10477,0,0,0,0,0,0,0,0,0,0
SAL10478,0,0,0,0,0,0,0,0,0,0
SAL10479,6,3,5,3,0,3,0,3,3,27
SAL10480,71,141,130,128,106,78,54,77,4,790
SAL10481,8,0,0,0,3,0,0,0,0,12
SAL10482,24,6,4,0,3,0,0,13,0,54
SAL10483,0,0,0,0,0,0,0,0,0,0
SAL10484,25,8,7,3,0,3,4,3,0,64
SAL10485,25,41,27,27,24,11,5,11,7,178
SAL10486,19,12,4,0,0,0,4,8,0,41
SAL10487,30,8,5,7,0,0,7,10,4,68
SAL10488,3,0,0,0,0,0,0,0,0,10
SAL10489,17,5,0,0,3,0,0,0,0,32
SAL10490,12,0,0,0,0,0,0,7,0,26
SAL10491,0,0,0,0,0,0,0,0,0,3
SAL10492,9,16,13,4,5,3,12,13,0,72
SAL10493,40,81,84,86,63,59,51,74,11,545
SAL10494,43,30,47,12,25,12,19,18,6,210
SAL10495,12,0,0,0,0,0,0,0,0,17
SAL10496,5,0,0,0,0,0,0,0,0,3
SAL10497,12,4,0,3,3,3,0,3,0,38
SAL10498,6,0,5,0,0,0,0,0,0,10
SAL10499,92,306,112,164,108,81,34,88,12,1005
SAL10500,12,0,0,0,0,0,0,5,0,26
SAL10501,169,93,115,80,76,47,41,87,13,718
SAL10502,16,24,7,7,9,6,5,3,0,82
SAL10503,0,0,0,0,0,0,0,0,0,0
SAL10504,14,6,0,4,7,0,0,4,0,46
SAL10505,11,4,10,0,3,7,3,3,0,39
SAL10506,6,0,0,0,0,0,0,0,0,10
SAL10507,30,4,4,5,10,3,3,8,0,64
SAL10508,0,0,0,0,0,0,0,0,0,0
SAL10509,17,8,9,0,9,0,0,7,3,52
SAL10510,38,4,6,0,9,0,8,6,0,90
SAL10511,70,55,39,18,35,19,14,19,5,275
SAL10512,8,11,7,4,9,4,4,9,0,55
SAL10513,489,901,620,453,833,453,541,475,97,4862
SAL10514,14,10,4,5,5,0,4,10,0,55
SAL10515,1208,1723,840,686,1079,534,372,428,128,6995
SAL10516,11,7,10,4,10,3,9,11,0,60
SAL10517,3,0,0,0,0,0,0,0,0,14
SAL10518,0,0,0,0,0,0,0,0,0,0
SAL10519,13,0,0,0,5,0,0,0,0,23
SAL10520,93,132,78,136,78,33,51,67,24,691
SAL10521,186,461,201,236,217,182,79,94,23,1672
SAL10522,11,9,12,7,8,10,0,6,0,61
SAL10523,16,3,0,0,7,0,0,6,0,26
SAL10524,79,124,89,90,146,70,87,85,17,776
SAL10525,23,7,6,3,5,4,3,0,0,57
SAL10526,106,178,164,103,111,67,58,70,13,870
