SA2_MAINCODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
101041018,2945,3275,6224,157,173,333,313,339,647,13,12,26,20,25,52,6,3,8,6,4,9,3,3,8,7,6,10,42,52,98,0,0,0,411,446,856,14,19,34,11,5,23,590,647,1238,415,411,829,3957,4332,8289
101041019,3110,3306,6414,256,284,542,182,212,394,20,22,42,10,11,23,0,0,0,5,4,10,3,3,7,3,0,3,26,22,50,0,0,0,251,281,535,12,10,19,8,8,12,521,583,1108,407,383,791,4037,4276,8313
101041020,3600,3547,7148,84,84,171,250,230,478,23,26,49,14,17,32,3,0,8,7,7,10,0,0,0,3,8,12,17,23,39,0,0,0,319,311,628,5,13,16,12,8,17,419,423,836,380,360,739,4404,4324,8724
101041021,1213,1263,2474,60,65,124,122,144,264,8,5,18,4,8,15,0,0,0,3,0,3,0,3,3,0,0,0,14,13,26,0,0,0,152,170,323,4,7,8,3,0,3,224,236,459,164,169,334,1598,1674,3267
101041022,12,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,10,25
101041023,1221,1261,2479,58,71,131,68,75,138,33,25,60,3,7,10,0,0,0,5,6,12,0,3,4,3,3,3,8,3,8,0,0,0,125,122,239,0,3,5,3,3,7,193,195,389,157,172,323,1559,1629,3188
101041024,1352,1299,2651,21,23,46,108,126,229,9,8,11,3,4,6,6,7,8,0,0,0,0,0,0,0,0,0,13,7,22,0,0,0,136,151,282,5,4,5,10,3,10,170,179,344,143,131,280,1665,1613,3278
101041025,3863,4186,8048,317,362,679,245,291,531,79,73,151,26,31,52,3,3,5,8,9,14,4,3,8,5,3,6,36,44,85,0,0,0,405,452,856,27,27,52,15,11,25,761,848,1611,415,475,889,5034,5515,10545
101041026,3168,3147,6322,182,192,371,163,189,354,12,19,30,19,25,42,3,3,3,3,3,3,3,0,3,0,3,4,35,35,66,0,0,0,237,269,509,17,8,28,8,5,15,434,478,913,329,351,682,3942,3976,7919
101041027,3447,3514,6959,214,237,454,177,173,348,46,48,92,12,14,19,3,0,9,3,3,3,0,0,0,6,5,12,33,46,78,0,0,0,280,290,566,10,16,27,25,29,48,530,570,1102,416,442,855,4388,4524,8918
101051539,8177,8584,16764,849,916,1764,558,578,1138,20,17,36,34,37,68,4,3,10,13,12,26,0,0,0,0,4,6,42,48,92,0,0,0,668,707,1376,77,80,157,31,15,44,1631,1713,3336,1508,1013,2521,11315,11312,22625
101051540,5242,4893,10138,173,190,364,417,404,824,3,5,11,14,7,16,0,0,0,0,0,3,0,0,0,0,0,0,21,16,42,0,0,0,462,441,900,16,7,23,12,12,27,660,651,1310,578,540,1114,6478,6081,12561
101061541,2382,2603,4981,189,208,392,138,146,281,0,0,3,20,21,37,3,7,7,0,0,0,0,0,0,0,0,0,96,98,185,0,0,3,251,268,523,14,10,24,10,10,16,454,498,954,230,241,471,3066,3351,6417
101061542,4694,4638,9330,102,119,222,177,196,374,11,9,17,12,9,21,4,3,9,15,9,29,3,4,5,4,0,9,239,259,504,0,0,0,457,501,955,21,28,48,9,4,9,587,647,1236,428,398,826,5707,5681,11388
101061543,3926,4196,8122,420,463,879,200,244,443,18,13,30,27,24,52,5,7,18,6,0,4,0,0,0,0,0,0,17,25,41,0,0,0,275,319,595,19,20,31,9,9,16,716,803,1519,405,430,831,5042,5427,10471
101061544,3001,2939,5936,133,137,273,191,196,385,0,3,3,14,13,23,0,0,0,0,3,5,0,3,4,3,0,3,17,24,38,0,0,0,227,236,465,8,10,20,11,7,17,377,389,770,273,283,554,3649,3616,7265
102011028,2913,2919,5831,143,130,271,271,257,528,0,3,10,7,8,16,0,0,3,3,11,15,0,0,0,0,0,0,0,3,3,0,0,0,286,280,569,20,34,60,8,5,15,465,447,911,260,243,499,3634,3609,7243
102011029,4253,4440,8695,101,136,233,428,424,855,5,12,15,6,11,19,0,0,4,0,0,3,0,0,0,7,3,10,3,0,3,0,0,0,453,449,903,22,23,52,3,10,13,580,615,1198,341,357,698,5176,5418,10595
102011030,1939,1768,3706,40,26,69,162,156,316,0,0,0,6,0,6,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,174,160,333,13,19,30,0,0,0,227,209,433,276,249,523,2435,2222,4659
102011031,5152,5854,11005,94,115,210,589,667,1248,7,11,18,14,14,24,3,3,5,9,17,25,0,0,3,0,0,0,3,0,7,0,0,0,629,711,1335,41,58,99,12,11,30,775,900,1678,501,649,1144,6426,7402,13828
102011032,6643,7118,13767,344,372,719,975,1004,1978,15,15,35,26,38,67,0,0,4,19,11,30,3,3,4,0,6,3,3,3,13,0,0,0,1048,1087,2134,93,113,207,18,11,25,1498,1579,3083,819,872,1694,8961,9574,18539
102011033,2529,2569,5102,88,83,172,223,241,468,3,3,5,4,3,11,0,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,239,256,491,12,15,22,4,4,7,344,354,699,326,180,507,3200,3106,6311
102011034,2703,3171,5870,54,71,125,317,369,681,3,3,8,10,13,19,0,0,0,0,5,6,0,0,0,3,4,3,0,3,4,0,0,0,335,390,726,19,18,33,5,15,17,406,494,901,205,266,473,3320,3925,7240
102011035,2658,2736,5393,42,49,89,296,328,628,3,3,4,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,344,643,21,16,35,4,6,11,366,411,781,180,207,388,3203,3358,6558
102011036,3257,3412,6668,56,58,108,305,298,606,3,3,8,9,6,20,0,0,0,4,0,3,0,0,0,0,0,5,0,0,0,0,0,0,322,310,638,13,15,32,4,3,6,398,388,785,251,233,485,3910,4028,7941
102011037,2458,2598,5055,50,53,110,269,276,547,9,6,12,3,13,13,0,3,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,281,299,579,13,25,40,7,3,9,352,383,736,182,179,361,2989,3165,6157
102011038,2719,2897,5625,80,102,176,254,287,538,0,0,0,13,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,270,299,570,13,17,35,3,8,11,363,428,795,245,236,474,3329,3559,6887
102011039,4999,5154,10156,241,250,492,636,697,1335,12,8,26,31,25,53,0,0,3,5,7,11,5,4,6,0,0,3,4,5,8,0,0,0,694,747,1446,77,82,161,11,12,25,1019,1098,2115,446,489,933,6464,6739,13204
102011040,8598,9362,17965,544,641,1185,894,948,1846,14,8,17,33,28,62,5,9,14,10,5,11,3,0,3,4,0,3,0,0,4,0,0,0,963,1008,1972,66,71,135,20,16,43,1597,1733,3329,966,1079,2046,11164,12176,23340
102011041,3801,3907,7706,110,93,204,468,500,965,6,3,6,11,16,27,0,0,0,3,3,9,0,0,0,0,0,3,8,10,16,0,0,0,493,531,1024,23,25,49,10,8,18,626,661,1287,329,311,647,4758,4880,9636
102011042,5128,5611,10743,156,213,370,631,693,1327,4,9,11,19,15,35,0,0,4,0,4,7,0,0,0,3,3,5,8,7,12,0,0,0,671,730,1403,44,37,79,16,13,31,884,992,1874,559,628,1190,6571,7236,13812
102011043,4284,4699,8989,100,132,234,473,556,1028,0,3,4,10,10,22,7,7,15,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,499,584,1084,24,29,52,40,48,93,665,786,1458,422,443,868,5378,5935,11312
102021044,8178,9081,17265,327,372,701,875,958,1830,10,16,28,25,22,53,15,13,20,8,7,18,0,3,3,8,3,8,0,11,10,0,0,0,939,1029,1969,31,37,66,18,27,40,1317,1465,2780,775,917,1686,10271,11465,21735
102021045,4190,4393,8585,166,199,363,518,571,1085,3,3,13,13,15,23,0,0,0,8,8,14,0,0,0,3,6,4,0,0,0,0,0,0,547,597,1144,13,16,29,19,11,28,740,828,1570,342,385,727,5275,5606,10885
102021046,3595,3704,7299,98,117,216,437,447,888,4,3,7,10,17,31,0,0,0,10,9,15,3,0,3,0,0,0,0,0,0,0,0,0,462,480,947,11,9,22,11,5,18,591,607,1198,391,409,802,4572,4718,9295
102021047,6035,6407,12444,188,226,410,588,617,1204,3,3,8,15,16,23,0,4,4,6,8,15,0,0,0,0,0,0,0,0,0,0,0,0,613,650,1261,20,32,55,15,28,42,838,930,1764,454,498,955,7330,7833,15162
102021048,8163,8670,16828,289,350,639,934,1079,2010,8,8,14,38,38,74,0,6,9,12,6,16,0,0,0,0,3,6,3,8,11,0,0,0,995,1145,2140,28,42,70,37,35,74,1349,1578,2931,1022,1120,2140,10527,11373,21901
102021049,1332,1314,2650,6,13,18,158,141,302,0,3,0,4,3,9,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,167,148,317,6,10,12,4,0,11,187,171,360,160,164,319,1679,1653,3331
102021050,4164,4431,8592,147,156,301,388,421,804,4,3,7,18,11,28,0,3,3,7,9,15,0,0,0,0,4,4,3,0,7,0,0,0,417,446,867,11,17,29,13,13,24,587,633,1217,409,411,825,5161,5472,10634
102021051,1974,1979,3954,18,27,46,212,240,454,0,0,0,6,3,10,3,8,8,0,0,0,0,0,0,5,7,8,0,4,4,0,0,0,230,257,489,13,16,31,7,0,5,271,294,567,145,151,299,2392,2426,4816
102021052,2308,2270,4579,79,113,193,249,243,493,0,0,0,8,15,22,0,0,0,0,3,0,0,0,0,4,3,3,0,0,0,0,0,0,266,265,527,11,6,17,10,10,15,360,388,746,206,186,393,2869,2843,5714
102021053,5236,5625,10857,348,354,701,723,809,1531,13,12,24,31,27,60,3,3,6,4,4,8,5,4,14,0,0,3,3,0,8,0,0,0,782,872,1654,37,40,76,22,16,41,1186,1285,2470,704,751,1453,7118,7655,14773
102021054,3545,3652,7197,160,168,326,473,536,1008,4,7,8,18,15,35,0,4,4,11,0,10,0,3,3,3,3,4,3,0,3,0,0,0,513,561,1075,14,7,23,9,20,28,697,753,1447,479,547,1022,4721,4951,9673
102021055,1935,2081,4021,66,56,127,287,281,567,0,0,0,3,6,12,0,0,0,0,3,4,0,0,0,0,5,3,0,3,5,0,0,0,295,299,594,24,27,46,3,4,8,385,389,772,233,215,451,2560,2683,5243
102021056,5670,5993,11660,204,241,446,851,981,1827,7,13,21,26,27,54,0,4,3,7,3,11,0,0,0,0,0,0,9,3,12,0,0,0,898,1028,1931,38,46,79,11,9,17,1153,1322,2473,453,459,913,7276,7771,15047
102021057,3288,3456,6743,91,73,170,429,422,850,0,0,4,8,14,21,0,0,0,3,3,5,0,0,0,0,0,3,3,10,16,0,0,0,444,453,904,23,28,55,18,21,32,583,581,1164,373,426,805,4247,4466,8710
103011058,8178,8657,16834,851,947,1796,899,925,1824,19,22,35,50,36,82,3,4,6,18,10,28,0,3,5,3,9,8,11,14,26,0,0,0,1000,1024,2025,65,86,155,32,22,49,1946,2079,4022,1545,1151,2699,11673,11883,23557
103011059,4198,4273,8470,232,244,472,507,561,1068,12,12,26,13,18,32,0,3,3,0,3,6,3,4,6,0,0,3,3,0,3,0,0,0,545,599,1147,20,15,41,17,7,23,811,868,1680,454,420,874,5462,5559,11023
103011060,2786,2686,5470,36,37,73,178,191,371,0,0,0,5,5,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,190,195,386,5,5,7,5,0,5,239,235,476,604,308,914,3632,3227,6858
103011061,1717,1666,3383,144,132,278,111,121,230,5,3,7,9,6,13,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,129,139,261,8,3,14,5,7,10,291,278,568,396,260,661,2400,2208,4609
103021062,2512,2498,5017,200,202,396,92,107,199,10,7,12,15,15,27,5,4,11,3,4,10,0,0,0,0,0,0,0,3,3,0,0,0,120,143,257,5,6,6,15,11,25,334,357,688,437,386,831,3290,3242,6530
103021063,3438,3642,7081,261,312,570,204,222,423,3,3,8,24,23,45,0,0,3,3,3,7,0,0,0,0,3,3,8,6,16,0,0,0,242,265,507,9,11,15,15,9,26,523,594,1115,405,446,847,4366,4677,9050
103021064,2239,2156,4397,93,100,185,130,138,271,0,0,0,14,7,17,4,3,9,3,0,3,0,0,0,3,0,3,3,0,3,0,0,0,156,155,308,6,7,14,4,5,10,250,262,513,253,241,495,2749,2662,5404
103021065,3970,3871,7840,349,383,728,161,193,359,3,3,9,19,17,38,0,0,0,5,8,8,0,0,0,0,6,9,3,5,17,0,0,0,199,240,438,7,10,19,12,9,18,563,640,1206,509,493,1007,5041,5009,10050
103021066,1458,1447,2905,78,75,151,72,70,139,0,0,3,3,9,16,0,0,0,0,0,3,0,0,0,0,0,0,3,4,10,0,0,0,88,90,176,4,11,11,0,3,9,170,174,341,183,188,370,1809,1807,3619
103021067,3988,4260,8253,400,421,824,200,226,427,10,12,15,29,27,58,5,4,9,5,0,5,0,0,0,3,8,12,3,9,11,0,0,0,256,286,537,13,18,33,11,9,22,682,740,1423,557,594,1152,5228,5601,10825
103021068,1406,1271,2683,43,51,91,81,75,160,4,4,3,4,11,19,6,3,9,3,3,5,0,3,3,0,0,0,0,0,0,0,0,0,100,98,201,0,6,8,3,3,10,150,160,310,182,184,370,1741,1620,3358
103021069,2333,2277,4611,126,145,274,76,89,163,5,3,6,7,7,14,0,0,0,0,0,0,3,9,13,0,0,0,0,6,7,0,0,0,96,110,205,3,4,9,0,3,3,228,263,489,366,398,764,2923,2941,5864
103031070,4676,4816,9492,326,396,724,319,345,663,0,4,4,16,17,34,4,3,9,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,342,370,716,17,20,35,13,12,27,697,797,1500,1021,648,1669,6393,6263,12655
103031071,3246,3135,6384,100,88,186,213,230,442,3,3,7,11,6,25,7,4,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,240,245,487,9,13,20,10,8,13,351,351,702,573,530,1101,4176,4016,8186
103031072,4089,4346,8433,445,441,890,412,431,845,0,3,9,52,42,94,15,6,18,14,8,18,7,3,5,0,3,5,0,3,7,0,0,0,495,501,1002,26,27,51,7,8,18,980,985,1960,568,599,1174,5635,5924,11561
103031073,1322,1252,2569,86,102,188,90,74,163,5,0,5,3,10,9,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,98,87,186,4,7,5,4,3,6,188,196,383,241,216,457,1749,1664,3415
103031074,4043,3760,7802,176,167,349,297,309,607,6,3,14,11,16,31,6,3,7,4,0,3,0,0,0,0,3,6,0,3,6,0,0,0,327,344,667,5,12,25,10,13,25,520,536,1060,729,664,1392,5297,4956,10257
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,2844,2900,5744,222,220,445,173,193,371,0,5,10,7,12,19,0,0,6,3,0,5,0,0,3,0,0,3,0,0,0,0,0,0,193,219,408,3,5,12,9,3,12,425,450,880,301,263,566,3578,3617,7196
103041077,6722,7322,14038,429,476,901,811,881,1688,15,13,31,28,40,70,4,3,12,10,15,33,4,3,7,3,3,4,4,17,23,0,0,0,886,974,1864,33,64,95,27,13,39,1371,1530,2895,885,969,1851,8977,9814,18787
103041078,7086,7423,14505,584,614,1198,980,1005,1982,18,13,28,45,42,89,8,3,5,18,19,36,0,4,3,7,3,10,12,3,15,0,0,0,1086,1088,2177,70,64,132,27,20,50,1760,1787,3551,668,670,1335,9514,9881,19392
103041079,4755,4655,9410,145,183,326,350,354,699,8,17,23,13,16,26,0,0,0,3,0,5,0,0,0,0,0,3,0,0,0,0,0,0,373,382,755,13,14,21,8,7,11,539,578,1113,494,439,928,5787,5670,11454
104011080,6741,7370,14113,612,668,1280,460,471,930,21,13,35,94,123,215,0,0,0,11,13,20,0,0,0,8,10,21,6,8,11,0,0,0,597,635,1228,15,23,37,27,17,40,1250,1344,2594,957,788,1741,8948,9497,18448
104011081,6196,5876,12075,187,199,391,451,469,917,12,15,29,87,92,182,4,3,8,16,17,31,0,0,0,3,3,9,5,3,11,0,0,0,579,603,1188,19,26,40,16,6,22,799,837,1636,778,688,1470,7782,7402,15177
104011082,6134,6386,12523,486,541,1030,325,342,668,15,15,36,184,175,361,4,6,12,19,13,31,9,6,14,15,14,23,6,3,9,0,0,0,580,582,1162,26,30,57,22,22,48,1120,1173,2295,675,678,1351,7933,8232,16168
104021083,2152,2353,4503,144,173,312,146,183,330,14,18,25,33,20,59,0,0,0,0,9,8,5,3,6,0,3,3,3,3,5,0,0,0,202,234,441,10,13,22,8,18,24,369,434,798,222,224,442,2734,3016,5749
104021084,6138,6726,12864,358,406,769,725,741,1467,26,32,55,78,79,155,6,10,15,14,19,30,3,3,4,5,10,19,3,9,14,0,0,0,860,900,1764,79,101,178,24,21,42,1325,1429,2753,802,839,1644,8266,8997,17268
104021085,3336,3820,7155,159,201,363,525,637,1163,13,22,37,36,46,81,3,4,11,8,10,17,3,3,5,3,3,7,0,0,3,0,0,0,600,725,1326,47,73,120,30,33,59,836,1027,1868,542,630,1178,4720,5484,10201
104021086,1482,1460,2941,32,35,64,188,169,355,10,10,18,9,10,21,0,4,5,3,9,12,0,0,0,0,0,0,0,3,0,0,0,0,210,200,412,6,15,17,4,0,6,252,251,506,175,168,342,1909,1877,3787
104021087,1251,1279,2533,79,87,164,71,63,134,3,6,11,15,5,24,0,0,0,8,5,17,0,0,0,0,0,4,4,0,4,0,0,0,104,85,184,4,8,14,6,3,7,192,180,372,161,141,301,1607,1603,3210
104021088,3155,3272,6422,140,176,322,455,480,932,25,15,43,51,58,106,11,5,13,15,11,26,0,0,0,8,3,9,0,3,4,0,0,0,555,582,1139,36,40,74,8,13,19,745,806,1550,310,346,654,4204,4427,8633
104021089,7413,7797,15203,470,542,1013,557,612,1169,31,36,59,88,87,176,0,0,3,7,10,18,9,3,15,3,7,7,5,3,10,0,0,0,696,762,1460,30,60,93,32,25,57,1230,1392,2617,710,775,1488,9350,9959,19314
104021090,1755,1790,3548,109,118,231,181,207,389,7,8,12,14,11,29,0,3,3,4,0,3,0,0,3,3,3,3,0,3,3,0,0,0,210,236,442,11,10,17,8,3,18,343,364,713,194,190,382,2295,2347,4638
104021091,4689,4736,9421,336,376,710,334,317,649,24,21,46,75,59,135,12,9,16,4,5,16,0,0,4,9,8,17,4,7,5,0,0,0,459,434,888,68,79,147,10,16,27,869,900,1770,591,607,1196,6142,6240,12384
105011092,1407,1369,2773,84,111,195,86,95,178,0,3,3,6,4,11,0,0,0,3,7,12,0,0,0,0,4,4,0,0,0,3,0,4,103,117,217,0,7,6,11,5,15,196,239,434,387,345,729,1990,1948,3940
105011093,1743,1633,3379,154,157,318,86,87,169,5,7,14,20,17,37,11,4,17,4,3,9,0,0,4,0,0,0,0,3,7,0,0,0,133,122,253,10,11,22,5,8,5,304,300,601,318,282,601,2361,2223,4584
105011094,1455,1473,2931,115,111,224,86,96,180,3,6,6,0,11,11,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,93,114,208,0,3,3,10,0,7,217,231,444,325,338,668,2000,2047,4048
105011095,1917,1922,3836,101,117,216,86,85,172,3,3,10,14,12,31,0,0,3,4,8,13,0,0,0,0,0,0,0,0,0,0,0,0,111,111,226,5,6,13,3,3,9,226,238,464,299,299,599,2444,2452,4895
105011096,2526,2247,4771,141,158,296,147,153,296,6,9,13,20,22,38,3,4,5,0,3,5,4,0,4,3,0,6,0,0,0,0,0,0,188,190,375,6,3,12,23,19,42,357,368,723,458,391,846,3336,3007,6343
105021097,6781,7126,13905,589,687,1278,130,146,278,32,38,66,25,28,53,67,53,120,16,18,27,3,3,8,6,5,11,11,6,17,0,0,0,290,292,583,17,26,46,20,16,33,915,1024,1938,830,839,1672,8522,8994,17517
105021098,1012,889,1901,18,24,46,41,50,92,10,6,15,5,6,12,8,3,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,64,69,137,12,8,20,23,16,37,112,120,230,209,136,344,1337,1143,2477
105031099,3120,3073,6201,170,207,382,179,184,358,3,4,10,7,18,32,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,195,210,403,8,12,20,15,4,18,389,437,825,420,440,863,3930,3949,7880
105031100,3736,4005,7740,146,181,327,511,553,1061,16,32,45,28,18,41,3,0,3,0,3,3,0,0,0,3,0,4,3,0,5,0,0,0,557,605,1166,41,38,75,11,9,16,756,828,1587,430,466,898,4932,5303,10231
